# File: L102.load_segments.csv
# Title: Defines the relative shape of each load segment by grid_region based on FERC hourly data
# Units: %
# Source: preprocessed FERC hourly data
# Column types: ccinn
# ----------
grid_region,segment,hours,generation.fraction,relative.generation
Florida grid,Oct_day,341,0.039727151,0.548502954
Florida grid,Oct_night,403,0.037722774,0.440701474
Florida grid,Sep_day,384,0.054041749,0.662588823
Florida grid,Sep_night,336,0.037211974,0.521422021
Florida grid,superpeak,10,0.002123998,1
Hawaii grid,Apr_day,390,0.048113284,0.829563416
Hawaii grid,Apr_night,330,0.031356915,0.63895252
Hawaii grid,Aug_day,403,0.05343692,0.891631841
Hawaii grid,Aug_night,341,0.035136033,0.692863271
Hawaii grid,Dec_day,341,0.043564277,0.859063626
Hawaii grid,Dec_night,403,0.040986238,0.683883631
Hawaii grid,Feb_day,308,0.037401873,0.816567024
Hawaii grid,Feb_night,364,0.035411856,0.654178859
Hawaii grid,Jan_day,341,0.042564885,0.839356159
Hawaii grid,Jan_night,403,0.040072684,0.668640347
Hawaii grid,Jul_day,403,0.05223539,0.871583491
Hawaii grid,Jul_night,341,0.03455837,0.681472083
Hawaii grid,Jun_day,390,0.050600849,0.872453708
Hawaii grid,Jun_night,330,0.033223852,0.676994665
Hawaii grid,Mar_day,375,0.045626482,0.818153725
Hawaii grid,Mar_night,369,0.035211083,0.641655927
Hawaii grid,May_day,403,0.051190808,0.854153918
Hawaii grid,May_night,341,0.033593176,0.662438978
Hawaii grid,Nov_day,330,0.04297012,0.875592082
Hawaii grid,Nov_night,390,0.039922744,0.688343111
Hawaii grid,Oct_day,333,0.04414435,0.89141531
Hawaii grid,Oct_night,401,0.041692199,0.699132722
Hawaii grid,Sep_day,386,0.051347693,0.894505109
Hawaii grid,Sep_night,334,0.034150785,0.687548633
Hawaii grid,superpeak,10,0.001487136,1
Central Northwest grid,Apr_day,394,0.041378161,0.583899177
Central Northwest grid,Apr_night,326,0.029919849,0.510275481
Central Northwest grid,Aug_day,421,0.059994551,0.79230539
Central Northwest grid,Aug_night,313,0.037038222,0.657913345
Central Northwest grid,Dec_day,279,0.035174784,0.700954989
Central Northwest grid,Dec_night,465,0.055931078,0.668748987
Central Northwest grid,Feb_day,304,0.036921091,0.675248823
Central Northwest grid,Feb_night,368,0.041990013,0.634396949
Central Northwest grid,Jan_day,279,0.034748036,0.692450851
Central Northwest grid,Jan_night,465,0.054778691,0.654970286
Central Northwest grid,Jul_day,465,0.065562739,0.783911491
Central Northwest grid,Jul_night,279,0.032602334,0.649691799
Central Northwest grid,Jun_day,450,0.05788323,0.715159873
Central Northwest grid,Jun_night,270,0.028863533,0.594358702
Central Northwest grid,Mar_day,369,0.040677151,0.612896384
Central Northwest grid,Mar_night,375,0.037654264,0.558271931
Central Northwest grid,May_day,465,0.051691442,0.618057092
Central Northwest grid,May_night,279,0.026420745,0.526506516
Central Northwest grid,Nov_day,286,0.031763596,0.617485157
Central Northwest grid,Nov_night,434,0.044733368,0.57306616
Central Northwest grid,Oct_day,341,0.03654475,0.595845296
Central Northwest grid,Oct_night,403,0.038271865,0.528004323
Central Northwest grid,Sep_day,382,0.044286412,0.644569916
Central Northwest grid,Sep_night,338,0.033371486,0.548936034
Central Northwest grid,superpeak,10,0.00179861,1
Northwest grid,Apr_day,390,0.042769629,0.609217549
Northwest grid,Apr_night,330,0.032147335,0.541168563
Northwest grid,Aug_day,419,0.057443934,0.761608313
Northwest grid,Aug_night,321,0.036796198,0.636794704
Northwest grid,Dec_day,279,0.033436831,0.665767255
