# File: L119.CapacityFactor_PV_state_segment.csv
# Title: Solar PV capacity factor adjustment by state and load segment preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: ccn
# ----------
state,segment,capacity.factor
AL,Apr_day,0.424300834
AL,Apr_night,0.004173779
AL,Aug_day,0.397281691
AL,Aug_night,0.003446155
AL,Dec_day,0.35632161
AL,Dec_night,0.004848484
AL,Feb_day,0.42384509
AL,Feb_night,0.001786746
AL,Jan_day,0.35424502
AL,Jan_night,0.000239857
AL,Jul_day,0.35356568
AL,Jul_night,0.000853099
AL,Jun_day,0.350122352
AL,Jun_night,0.00017629
AL,Mar_day,0.438456974
AL,Mar_night,0.002022382
AL,May_day,0.402772767
AL,May_night,0.003231336
AL,Nov_day,0.40098454
AL,Nov_night,0.00501564
AL,Oct_day,0.41964034
AL,Oct_night,0.005663956
AL,Sep_day,0.379646837
AL,Sep_night,0.002379384
AL,superpeak,0.454907557
AR,Apr_day,0.412692486
AR,Apr_night,0.001341704
AR,Aug_day,0.414414092
AR,Aug_night,0.001581563
AR,Dec_day,0.399222731
AR,Dec_night,0.005230135
AR,Feb_day,0.386734999
AR,Feb_night,5.59E-05
AR,Jan_day,0.365975639
AR,Jan_night,0.002234854
AR,Jul_day,0.370111531
AR,Jul_night,0.000438146
AR,Jun_day,0.359646678
AR,Jun_night,1.90E-06
AR,Mar_day,0.399768866
AR,Mar_night,0.000587248
AR,May_day,0.357377063
AR,May_night,0.001740505
AR,Nov_day,0.3697262
AR,Nov_night,0.000600257
AR,Oct_day,0.417440737
AR,Oct_night,0.003046113
AR,Sep_day,0.403296436
AR,Sep_night,0.000658866
AR,superpeak,0.465853212
AZ,Apr_day,0.576534852
AZ,Apr_night,0.001260384
AZ,Aug_day,0.449550613
AZ,Aug_night,0.001713181
AZ,Dec_day,0.56553757
AZ,Dec_night,0.01238359
AZ,Feb_day,0.558344938
AZ,Feb_night,0.000364897
AZ,Jan_day,0.531762749
AZ,Jan_night,0.002451212
AZ,Jul_day,0.409529092
AZ,Jul_night,0.001538929
AZ,Jun_day,0.48433491
AZ,Jun_night,0
AZ,Mar_day,0.572722512
AZ,Mar_night,0.00137805
AZ,May_day,0.54453952
AZ,May_night,0.004582959
AZ,Nov_day,0.551901059
AZ,Nov_night,0.000555397
AZ,Oct_day,0.594801155
AZ,Oct_night,0.004149962
AZ,Sep_day,0.507204766
AZ,Sep_night,0.000753602
AZ,superpeak,0.432897282
CA,Apr_day,0.468421409
CA,Apr_night,0.002747117
CA,Aug_day,0.46925152
CA,Aug_night,0.003799081
CA,Dec_day,0.427159974
CA,Dec_night,0.013846995
CA,Feb_day,0.42030676
CA,Feb_night,0.001063581
CA,Jan_day,0.412393722
CA,Jan_night,0.006366114
CA,Jul_day,0.408926264
CA,Jul_night,0.000249236
CA,Jun_day,0.420555471
CA,Jun_night,0.000915071
CA,Mar_day,0.468529809
CA,Mar_night,0.001912269
CA,May_day,0.441327242
CA,May_night,0.003547868
CA,Nov_day,0.419470816
CA,Nov_night,0.006156103
CA,Oct_day,0.485184234
CA,Oct_night,0.007532993
CA,Sep_day,0.469973051
CA,Sep_night,0.002407296
CA,superpeak,0.478879914
CO,Apr_day,0.481063415
CO,Apr_night,0.005190212
CO,Aug_day,0.443725976
CO,Aug_night,0.005453574
CO,Dec_day,0.465185683
CO,Dec_night,0.014726007
CO,Feb_day,0.453551904
CO,Feb_night,0.000324493
CO,Jan_day,0.469270414
CO,Jan_night,0.011715124
CO,Jul_day,0.419499042
CO,Jul_night,0.000372656
CO,Jun_day,0.46350432
CO,Jun_night,0.001720865
CO,Mar_day,0.488111561
CO,Mar_night,0.002048146
CO,May_day,0.44984099
CO,May_night,0.002663891
CO,Nov_day,0.482766687
CO,Nov_night,0.013226367
CO,Oct_day,0.534755205
CO,Oct_night,0.009514252
CO,Sep_day,0.498912991
CO,Sep_night,0.003232606
CO,superpeak,0.40052309
CT,Apr_day,0.380051682
CT,Apr_night,0.003997213
CT,Aug_day,0.354016253
CT,Aug_night,0.002259374
CT,Dec_day,0.344847431
CT,Dec_night,0.006036452
CT,Feb_day,0.408505394
CT,Feb_night,0.000718965
CT,Jan_day,0.391795229
CT,Jan_night,0.006526104
CT,Jul_day,0.340642629
CT,Jul_night,0.00040459
CT,Jun_day,0.321136573
CT,Jun_night,0.001309684
CT,Mar_day,0.418343908
CT,Mar_night,0.002288327
CT,May_day,0.322732409
CT,May_night,0.000655317
CT,Nov_day,0.317975025
CT,Nov_night,0.00584825
CT,Oct_day,0.362245565
CT,Oct_night,0.004758287
CT,Sep_day,0.368549247
CT,Sep_night,0.001994783
CT,superpeak,0.378351615
DE,Apr_day,0.402911879
DE,Apr_night,0.002898811
DE,Aug_day,0.381030732
DE,Aug_night,0.00188894
DE,Dec_day,0.387611593
DE,Dec_night,0.006014568
DE,Feb_day,0.417535121
DE,Feb_night,0.000215952
DE,Jan_day,0.395145953
DE,Jan_night,0.004489812
DE,Jul_day,0.349087451
DE,Jul_night,4.31E-06
DE,Jun_day,0.342817018
DE,Jun_night,6.38E-05
DE,Mar_day,0.44246043
DE,Mar_night,0.001462021
DE,May_day,0.362563822
DE,May_night,0.000376562
DE,Nov_day,0.396108038
DE,Nov_night,0.0039968
DE,Oct_day,0.402047491
DE,Oct_night,0.003968124
DE,Sep_day,0.380574912
DE,Sep_night,0.000902684
DE,superpeak,0.522185553
FL,Apr_day,0.465029609
FL,Apr_night,0.001517865
FL,Aug_day,0.38638749
FL,Aug_night,0.001367246
FL,Dec_day,0.377294377
FL,Dec_night,0.000629087
FL,Feb_day,0.466390108
FL,Feb_night,0.001494158
FL,Jan_day,0.424166998
FL,Jan_night,0.000240643
FL,Jul_day,0.3813348
FL,Jul_night,0.001126409
FL,Jun_day,0.391827635
FL,Jun_night,0.002698699
FL,Mar_day,0.484627584
FL,Mar_night,0.001265132
FL,May_day,0.455326294
FL,May_night,0.002215057
FL,Nov_day,0.429887263
FL,Nov_night,0.002134063
FL,Oct_day,0.443976518
FL,Oct_night,0.003836192
FL,Sep_day,0.374570022
FL,Sep_night,0.000957512
FL,superpeak,0.223570652
GA,Apr_day,0.420772984
GA,Apr_night,0.00020909
GA,Aug_day,0.387134389
GA,Aug_night,0.000445855
GA,Dec_day,0.373322505
GA,Dec_night,0.003178239
GA,Feb_day,0.429640779
GA,Feb_night,0.001101309
GA,Jan_day,0.368312261
GA,Jan_night,7.93E-06
GA,Jul_day,0.350175549
GA,Jul_night,0.000134544
GA,Jun_day,0.349345682
GA,Jun_night,0
GA,Mar_day,0.427264492
GA,Mar_night,0.00113853
GA,May_day,0.404419071
GA,May_night,0.000979455
GA,Nov_day,0.387923807
GA,Nov_night,8.61E-06
GA,Oct_day,0.420357047
GA,Oct_night,0.00046961
GA,Sep_day,0.381021299
GA,Sep_night,0.000329165
GA,superpeak,0.533971396
IA,Apr_day,0.410293132
IA,Apr_night,0.00257571
IA,Aug_day,0.386455631
IA,Aug_night,0.001443443
IA,Dec_day,0.319457358
IA,Dec_night,0.002251939
IA,Feb_day,0.364435163
IA,Feb_night,4.69E-05
IA,Jan_day,0.321332111
IA,Jan_night,0.002589127
IA,Jul_day,0.378500999
IA,Jul_night,4.64E-05
IA,Jun_day,0.35264763
IA,Jun_night,0.000388215
IA,Mar_day,0.412753415
IA,Mar_night,0.000753004
IA,May_day,0.348513476
IA,May_night,9.63E-05
IA,Nov_day,0.32888103
IA,Nov_night,0.003021952
IA,Oct_day,0.368057116
IA,Oct_night,0.002291149
IA,Sep_day,0.413818785
IA,Sep_night,0.000649398
IA,superpeak,0.435435447
ID,Apr_day,0.429924909
ID,Apr_night,0.004058859
ID,Aug_day,0.478288865
ID,Aug_night,0.003536367
ID,Dec_day,0.289175127
ID,Dec_night,0.003140349
ID,Feb_day,0.351631066
ID,Feb_night,0.002606224
ID,Jan_day,0.290682563
ID,Jan_night,0.005488483
ID,Jul_day,0.46712336
ID,Jul_night,0.002064424
ID,Jun_day,0.422917405
ID,Jun_night,0.002824903
ID,Mar_day,0.394448045
ID,Mar_night,0.002586017
ID,May_day,0.406116974
ID,May_night,0.001385659
ID,Nov_day,0.345428565
ID,Nov_night,0.006720185
ID,Oct_day,0.451967265
ID,Oct_night,0.003214777
ID,Sep_day,0.487530146
ID,Sep_night,0.002419947
ID,superpeak,0.501077757
IL,Apr_day,0.401002059
IL,Apr_night,0.002886114
IL,Aug_day,0.382032605
IL,Aug_night,0.002218803
IL,Dec_day,0.29551008
IL,Dec_night,0.004050294
IL,Feb_day,0.368425281
IL,Feb_night,0.000311969
IL,Jan_day,0.311753851
IL,Jan_night,0.003500728
IL,Jul_day,0.366161136
IL,Jul_night,0.000201637
IL,Jun_day,0.356826078
IL,Jun_night,0.001019909
IL,Mar_day,0.400026548
IL,Mar_night,0.001765874
IL,May_day,0.339926344
IL,May_night,0.000617278
IL,Nov_day,0.326077264
IL,Nov_night,0.003482448
IL,Oct_day,0.372039107
IL,Oct_night,0.003077712
IL,Sep_day,0.401338274
IL,Sep_night,0.001605354
IL,superpeak,0.534199964
IN,Apr_day,0.391455754
IN,Apr_night,0.000989137
IN,Aug_day,0.381906227
IN,Aug_night,0.00073819
IN,Dec_day,0.285058109
IN,Dec_night,0.001709811
IN,Feb_day,0.348408728
IN,Feb_night,0.000957369
IN,Jan_day,0.297146253
IN,Jan_night,0.005399228
IN,Jul_day,0.360603571
IN,Jul_night,6.95E-05
IN,Jun_day,0.353567299
IN,Jun_night,0.000180995
IN,Mar_day,0.395369036
IN,Mar_night,0.001893341
IN,May_day,0.343681555
IN,May_night,0.000236392
IN,Nov_day,0.306545093
IN,Nov_night,0.001468468
IN,Oct_day,0.361887894
IN,Oct_night,0.000545603
IN,Sep_day,0.401686461
IN,Sep_night,0.000431929
IN,superpeak,0.439957908
KS,Apr_day,0.436777218
KS,Apr_night,0.000710833
KS,Aug_day,0.430346084
KS,Aug_night,0.000985031
KS,Dec_day,0.448800847
KS,Dec_night,0.003228702
KS,Feb_day,0.457658753
KS,Feb_night,0.000677189
KS,Jan_day,0.445203754
KS,Jan_night,0.005193944
KS,Jul_day,0.402986669
KS,Jul_night,7.76E-06
KS,Jun_day,0.387840004
KS,Jun_night,1.69E-05
KS,Mar_day,0.449536224
KS,Mar_night,0.00106931
KS,May_day,0.392115019
KS,May_night,0.000447501
KS,Nov_day,0.441431581
KS,Nov_night,0.002797405
KS,Oct_day,0.452205291
KS,Oct_night,0.00084096
KS,Sep_day,0.441055977
KS,Sep_night,0.000427571
KS,superpeak,0.526987211
KY,Apr_day,0.375607622
KY,Apr_night,0.001649036
KY,Aug_day,0.393903542
KY,Aug_night,0.00157411
KY,Dec_day,0.329670582
KY,Dec_night,0.003460243
KY,Feb_day,0.369121606
KY,Feb_night,0.000761577
KY,Jan_day,0.333633794
KY,Jan_night,0.003114226
KY,Jul_day,0.333531937
KY,Jul_night,5.05E-05
KY,Jun_day,0.349539974
KY,Jun_night,0.000361866
KY,Mar_day,0.377667489
KY,Mar_night,0.001393616
KY,May_day,0.356020859
KY,May_night,0.000818102
KY,Nov_day,0.34570313
KY,Nov_night,0.003506845
KY,Oct_day,0.395916283
KY,Oct_night,0.002050718
KY,Sep_day,0.381881337
KY,Sep_night,0.000990345
KY,superpeak,0.474333756
LA,Apr_day,0.429443036
LA,Apr_night,0.001349603
LA,Aug_day,0.390664313
LA,Aug_night,0.001061148
LA,Dec_day,0.335677438
LA,Dec_night,0.000131086
LA,Feb_day,0.415713374
LA,Feb_night,0.000410002
LA,Jan_day,0.34882044
LA,Jan_night,1.23E-05
LA,Jul_day,0.361239084
LA,Jul_night,0.00159156
LA,Jun_day,0.349630802
LA,Jun_night,0
LA,Mar_day,0.426828611
LA,Mar_night,0.000900012
LA,May_day,0.417133653
LA,May_night,0.003562751
LA,Nov_day,0.401585851
LA,Nov_night,0.002238195
LA,Oct_day,0.442379394
LA,Oct_night,0.003665948
LA,Sep_day,0.388343966
LA,Sep_night,0.000511285
LA,superpeak,0.486616777
MA,Apr_day,0.402127438
MA,Apr_night,0.005482521
MA,Aug_day,0.35900852
MA,Aug_night,0.002132659
MA,Dec_day,0.319848661
MA,Dec_night,0.005530217
MA,Feb_day,0.390294984
MA,Feb_night,0.001299355
MA,Jan_day,0.359712695
MA,Jan_night,0.005741074
MA,Jul_day,0.34586024
MA,Jul_night,0.000817218
MA,Jun_day,0.326623548
MA,Jun_night,0.00119562
MA,Mar_day,0.401596602
MA,Mar_night,0.002174416
MA,May_day,0.327614186
MA,May_night,0.001216635
MA,Nov_day,0.310676915
MA,Nov_night,0.007758664
MA,Oct_day,0.362266984
MA,Oct_night,0.005261791
MA,Sep_day,0.382208561
MA,Sep_night,0.002632147
MA,superpeak,0.369789673
MD,Apr_day,0.397577754
MD,Apr_night,0.002303115
MD,Aug_day,0.381154639
MD,Aug_night,0.001390115
MD,Dec_day,0.381162309
MD,Dec_night,0.005164045
MD,Feb_day,0.412046889
MD,Feb_night,9.44E-05
MD,Jan_day,0.394913598
MD,Jan_night,0.003932906
MD,Jul_day,0.343113569
MD,Jul_night,1.13E-06
MD,Jun_day,0.347840701
MD,Jun_night,2.10E-05
MD,Mar_day,0.424916016
MD,Mar_night,0.001021273
MD,May_day,0.358723185
MD,May_night,0.000739245
MD,Nov_day,0.369438508
MD,Nov_night,0.002838573
MD,Oct_day,0.402117798
MD,Oct_night,0.003340831
MD,Sep_day,0.379856581
MD,Sep_night,0.000558885
MD,superpeak,0.478677199
ME,Apr_day,0.391863618
ME,Apr_night,0.009094949
ME,Aug_day,0.361059129
ME,Aug_night,0.00400982
ME,Dec_day,0.336769576
ME,Dec_night,0.007060257
ME,Feb_day,0.408689305
ME,Feb_night,0.003888754
ME,Jan_day,0.387403268
ME,Jan_night,0.007227881
ME,Jul_day,0.335073282
ME,Jul_night,0.001664695
ME,Jun_day,0.324602468
ME,Jun_night,0.004217658
ME,Mar_day,0.405155922
ME,Mar_night,0.003630721
ME,May_day,0.336092083
ME,May_night,0.002555056
ME,Nov_day,0.295940566
ME,Nov_night,0.011939943
ME,Oct_day,0.335751936
ME,Oct_night,0.006676827
ME,Sep_day,0.383712336
ME,Sep_night,0.003856797
ME,superpeak,0.372128409
MI,Apr_day,0.42996768
MI,Apr_night,0.001433165
MI,Aug_day,0.386833557
MI,Aug_night,0.000644713
MI,Dec_day,0.270703603
MI,Dec_night,0.000142889
MI,Feb_day,0.350605353
MI,Feb_night,0.00162386
MI,Jan_day,0.313793893
MI,Jan_night,0.004087866
MI,Jul_day,0.379992155
MI,Jul_night,0.000237996
MI,Jun_day,0.370541271
MI,Jun_night,0.00024862
MI,Mar_day,0.42285729
MI,Mar_night,0.001695043
MI,May_day,0.365992641
MI,May_night,4.85E-05
MI,Nov_day,0.239992598
MI,Nov_night,0.000679963
MI,Oct_day,0.307079592
MI,Oct_night,0.00010915
MI,Sep_day,0.376303085
MI,Sep_night,0.000209041
MI,superpeak,0.539139584
MN,Apr_day,0.421135362
MN,Apr_night,0.001557789
MN,Aug_day,0.37574125
MN,Aug_night,0.000957785
MN,Dec_day,0.313445714
MN,Dec_night,0.000501767
MN,Feb_day,0.368264112
MN,Feb_night,0.001651186
MN,Jan_day,0.326162247
MN,Jan_night,0.000887539
MN,Jul_day,0.387223679
MN,Jul_night,0.000236994
MN,Jun_day,0.356559765
MN,Jun_night,0.000682611
MN,Mar_day,0.399731922
MN,Mar_night,0.000553419
MN,May_day,0.363443403
MN,May_night,0.000292397
MN,Nov_day,0.336340272
MN,Nov_night,0.002876078
MN,Oct_day,0.341977655
MN,Oct_night,0.001179721
MN,Sep_day,0.381616489
MN,Sep_night,0.000626803
MN,superpeak,0.424642779
MO,Apr_day,0.407986322
MO,Apr_night,0.002028131
MO,Aug_day,0.40569154
MO,Aug_night,0.001990163
MO,Dec_day,0.373654334
MO,Dec_night,0.004456411
MO,Feb_day,0.399147249
MO,Feb_night,7.56E-05
MO,Jan_day,0.389003816
MO,Jan_night,0.003713619
MO,Jul_day,0.367570224
MO,Jul_night,1.03E-06
MO,Jun_day,0.362481591
MO,Jun_night,3.74E-05
MO,Mar_day,0.407750971
MO,Mar_night,0.000842358
MO,May_day,0.358481179
MO,May_night,0.000739895
MO,Nov_day,0.383127063
MO,Nov_night,0.00214775
MO,Oct_day,0.425834752
MO,Oct_night,0.003128804
MO,Sep_day,0.418439766
MO,Sep_night,0.000777957
MO,superpeak,0.434558609
MS,Apr_day,0.414360303
MS,Apr_night,0.003063595
MS,Aug_day,0.409832037
MS,Aug_night,0.002951877
MS,Dec_day,0.34255982
MS,Dec_night,0.001324729
MS,Feb_day,0.391576278
MS,Feb_night,0.000622956
MS,Jan_day,0.341206583
MS,Jan_night,4.09E-06
MS,Jul_day,0.359312437
MS,Jul_night,0.001219618
MS,Jun_day,0.356630469
MS,Jun_night,1.21E-05
MS,Mar_day,0.416442541
MS,Mar_night,0.00184745
MS,May_day,0.391184324
MS,May_night,0.002343446
MS,Nov_day,0.375609902
MS,Nov_night,0.002724518
MS,Oct_day,0.416351014
MS,Oct_night,0.003946925
MS,Sep_day,0.377259955
MS,Sep_night,0.0012894
