# File: L119.CapacityFactor_CSP_state.csv
# Title: Annual average Solar CSP capacity factor by state preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: cn
# ----------
state,capacity.factor
AK,0.000260789
AL,0.000260789
AR,0.000260789
AZ,0.305495287
CA,0.268239764
CO,0.253337555
CT,0.000260789
DC,0.000260789
DE,0.000260789
FL,0.238435346
GA,0.000260789
HI,0.238435346
IA,0.000260789
ID,0.238435346
IL,0.000260789
IN,0.000260789
KS,0.238435346
KY,0.000260789
LA,0.000260789
MA,0.000260789
MD,0.000260789
ME,0.000260789
MI,0.000260789
MN,0.000260789
MO,0.000260789
MS,0.000260789
MT,0.238435346
NC,0.000260789
ND,0.238435346
NE,0.238435346
NH,0.000260789
NJ,0.000260789
NM,0.290593078
NV,0.275690869
NY,0.000260789
OH,0.000260789
OK,0.238435346
OR,0.238435346
PA,0.000260789
RI,0.000260789
SC,0.000260789
SD,0.238435346
TN,0.000260789
TX,0.253337555
UT,0.26078866
VA,0.000260789
VT,0.000260789
WA,0.238435346
WI,0.000260789
WV,0.000260789
WY,0.238435346
