# File: L114.CapacityFactor_wind_state.csv
# Title: wind technology capacity factor by state preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: cn
# ----------
state,capacity.factor
AL,0.249657895
AR,0.316605902
AZ,0.277500917
CA,0.328354354
CO,0.316682957
CT,0.255411119
DE,0.232859326
FL,0.211002484
GA,0.252939372
IA,0.415545127
ID,0.335908
IL,0.33876328
IN,0.348887098
KS,0.445353823
KY,0.23354028
LA,0.254083555
MA,0.332326237
MD,0.251691525
ME,0.381479878
MI,0.348174851
MN,0.386758711
MO,0.313844593
MS,0.207130664
MT,0.359749339
NC,0.246674395
ND,0.441832058
NE,0.435436582
NH,0.352816318
NJ,0.243376884
NM,0.34098206
NV,0.312694769
NY,0.335972836
OH,0.259680955
OK,0.402554414
OR,0.347625488
PA,0.276623115
RI,0.314981366
SC,0.231702463
SD,0.429035755
TN,0.26577092
TX,0.388859236
UT,0.283577696
VA,0.294857011
VT,0.370051825
WA,0.333178826
WI,0.325740292
WV,0.293137093
WY,0.34948226
AK,0.378691936
DC,0.180769766
HI,0.229042824
