# File: L119.CapacityFactor_CSP_state_segment.csv
# Title: Solar CSP capacity factor adjustment by state and load segment preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: ccn
# ----------
state,segment,capacity.factor
CT,Feb_night,0
DC,Feb_night,0
DE,Feb_night,0
FL,Feb_night,0
GA,Feb_night,0
HI,Feb_night,0
IA,Feb_night,0
ID,Feb_night,0
IL,Feb_night,0
IN,Feb_night,0
KS,Feb_night,0
KY,Feb_night,0
LA,Feb_night,0
MA,Feb_night,0
MD,Feb_night,0
ME,Feb_night,0
MI,Feb_night,0
MN,Feb_night,0
MO,Feb_night,0
MS,Feb_night,0
MT,Feb_night,0
NC,Feb_night,0
ND,Feb_night,0
NE,Feb_night,0
NH,Feb_night,0
NJ,Feb_night,0
NM,Feb_night,0
NV,Feb_night,0
NY,Feb_night,0
OH,Feb_night,0
OK,Feb_night,0
OR,Feb_night,0
PA,Feb_night,0
RI,Feb_night,0
SC,Feb_night,0
SD,Feb_night,0
TN,Feb_night,0
TX,Feb_night,0
UT,Feb_night,0
VA,Feb_night,0
VT,Feb_night,0
WA,Feb_night,0
WI,Feb_night,0
WV,Feb_night,0
WY,Feb_night,0
AK,Jan_day,0.000305163
AL,Jan_day,0.000305163
AR,Jan_day,0.000305163
AZ,Jan_day,0.357476937
CA,Jan_day,0.313882189
CO,Jan_day,0.29644429
CT,Jan_day,0.000305163
DC,Jan_day,0.000305163
DE,Jan_day,0.000305163
FL,Jan_day,0.27900639
GA,Jan_day,0.000305163
HI,Jan_day,0.27900639
IA,Jan_day,0.000305163
ID,Jan_day,0.27900639
IL,Jan_day,0.000305163
IN,Jan_day,0.000305163
KS,Jan_day,0.27900639
KY,Jan_day,0.000305163
LA,Jan_day,0.000305163
MA,Jan_day,0.000305163
MD,Jan_day,0.000305163
ME,Jan_day,0.000305163
MI,Jan_day,0.000305163
MN,Jan_day,0.000305163
MO,Jan_day,0.000305163
MS,Jan_day,0.000305163
MT,Jan_day,0.27900639
NC,Jan_day,0.000305163
ND,Jan_day,0.27900639
NE,Jan_day,0.27900639
NH,Jan_day,0.000305163
NJ,Jan_day,0.000305163
NM,Jan_day,0.340039038
NV,Jan_day,0.322601139
NY,Jan_day,0.000305163
OH,Jan_day,0.000305163
OK,Jan_day,0.27900639
OR,Jan_day,0.27900639
PA,Jan_day,0.000305163
RI,Jan_day,0.000305163
SC,Jan_day,0.000305163
SD,Jan_day,0.27900639
TN,Jan_day,0.000305163
TX,Jan_day,0.29644429
UT,Jan_day,0.305163239
VA,Jan_day,0.000305163
VT,Jan_day,0.000305163
WA,Jan_day,0.27900639
WI,Jan_day,0.000305163
WV,Jan_day,0.000305163
WY,Jan_day,0.27900639
AK,Jan_night,0
AL,Jan_night,0
AR,Jan_night,0
AZ,Jan_night,0
CA,Jan_night,0
CO,Jan_night,0
CT,Jan_night,0
DC,Jan_night,0
DE,Jan_night,0
FL,Jan_night,0
GA,Jan_night,0
HI,Jan_night,0
IA,Jan_night,0
ID,Jan_night,0
IL,Jan_night,0
IN,Jan_night,0
KS,Jan_night,0
KY,Jan_night,0
LA,Jan_night,0
MA,Jan_night,0
MD,Jan_night,0
ME,Jan_night,0
MI,Jan_night,0
MN,Jan_night,0
MO,Jan_night,0
MS,Jan_night,0
MT,Jan_night,0
NC,Jan_night,0
ND,Jan_night,0
NE,Jan_night,0
NH,Jan_night,0
NJ,Jan_night,0
NM,Jan_night,0
NV,Jan_night,0
NY,Jan_night,0
OH,Jan_night,0
OK,Jan_night,0
OR,Jan_night,0
PA,Jan_night,0
RI,Jan_night,0
SC,Jan_night,0
SD,Jan_night,0
TN,Jan_night,0
TX,Jan_night,0
UT,Jan_night,0
VA,Jan_night,0
VT,Jan_night,0
WA,Jan_night,0
WI,Jan_night,0
WV,Jan_night,0
WY,Jan_night,0
AK,Jul_day,0.000774719
AL,Jul_day,0.000774719
AR,Jul_day,0.000774719
AZ,Jul_day,0.907527892
CA,Jul_day,0.796853759
CO,Jul_day,0.752584105
CT,Jul_day,0.000774719
DC,Jul_day,0.000774719
DE,Jul_day,0.000774719
FL,Jul_day,0.708314452
GA,Jul_day,0.000774719
HI,Jul_day,0.708314452
IA,Jul_day,0.000774719
ID,Jul_day,0.708314452
IL,Jul_day,0.000774719
IN,Jul_day,0.000774719
KS,Jul_day,0.708314452
KY,Jul_day,0.000774719
LA,Jul_day,0.000774719
MA,Jul_day,0.000774719
MD,Jul_day,0.000774719
ME,Jul_day,0.000774719
MI,Jul_day,0.000774719
MN,Jul_day,0.000774719
MO,Jul_day,0.000774719
MS,Jul_day,0.000774719
MT,Jul_day,0.708314452
NC,Jul_day,0.000774719
ND,Jul_day,0.708314452
NE,Jul_day,0.708314452
NH,Jul_day,0.000774719
NJ,Jul_day,0.000774719
NM,Jul_day,0.863258239
NV,Jul_day,0.818988585
NY,Jul_day,0.000774719
OH,Jul_day,0.000774719
OK,Jul_day,0.708314452
OR,Jul_day,0.708314452
PA,Jul_day,0.000774719
RI,Jul_day,0.000774719
SC,Jul_day,0.000774719
SD,Jul_day,0.708314452
TN,Jul_day,0.000774719
TX,Jul_day,0.752584105
UT,Jul_day,0.774718932
VA,Jul_day,0.000774719
VT,Jul_day,0.000774719
WA,Jul_day,0.708314452
WI,Jul_day,0.000774719
WV,Jul_day,0.000774719
WY,Jul_day,0.708314452
AK,Jul_night,6.11E-05
AL,Jul_night,6.11E-05
AR,Jul_night,6.11E-05
AZ,Jul_night,0.071531893
CA,Jul_night,0.062808491
CO,Jul_night,0.059319131
CT,Jul_night,6.11E-05
DC,Jul_night,6.11E-05
DE,Jul_night,6.11E-05
FL,Jul_night,0.05582977
GA,Jul_night,6.11E-05
HI,Jul_night,0.05582977
IA,Jul_night,6.11E-05
ID,Jul_night,0.05582977
IL,Jul_night,6.11E-05
IN,Jul_night,6.11E-05
KS,Jul_night,0.05582977
KY,Jul_night,6.11E-05
LA,Jul_night,6.11E-05
MA,Jul_night,6.11E-05
MD,Jul_night,6.11E-05
ME,Jul_night,6.11E-05
MI,Jul_night,6.11E-05
MN,Jul_night,6.11E-05
MO,Jul_night,6.11E-05
MS,Jul_night,6.11E-05
MT,Jul_night,0.05582977
NC,Jul_night,6.11E-05
ND,Jul_night,0.05582977
NE,Jul_night,0.05582977
NH,Jul_night,6.11E-05
NJ,Jul_night,6.11E-05
NM,Jul_night,0.068042532
NV,Jul_night,0.064553172
NY,Jul_night,6.11E-05
OH,Jul_night,6.11E-05
OK,Jul_night,0.05582977
OR,Jul_night,0.05582977
PA,Jul_night,6.11E-05
RI,Jul_night,6.11E-05
SC,Jul_night,6.11E-05
SD,Jul_night,0.05582977
TN,Jul_night,6.11E-05
TX,Jul_night,0.059319131
UT,Jul_night,0.061063811
VA,Jul_night,6.11E-05
VT,Jul_night,6.11E-05
WA,Jul_night,0.05582977
WI,Jul_night,6.11E-05
WV,Jul_night,6.11E-05
WY,Jul_night,0.05582977
