# File: L119.CapacityFactor_PV_state.csv
# Title: Annual average solar PV capacity factor by state preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: cn
# ----------
state,capacity.factor
AL,0.202116595
AR,0.198156637
AZ,0.269100032
CA,0.227806569
CO,0.24131252
CT,0.183764721
DE,0.197159884
FL,0.213154008
GA,0.200536601
IA,0.18847179
ID,0.210112189
IL,0.18543271
IN,0.181522596
KS,0.218785292
KY,0.185230624
LA,0.201661855
MA,0.183142659
MD,0.194391027
ME,0.184248467
MI,0.182350043
MN,0.186928147
MO,0.199247805
MS,0.197559778
MT,0.201335258
NC,0.199933576
ND,0.193380532
NE,0.216691283
NH,0.182646638
NJ,0.184375934
NM,0.26240352
NV,0.24768622
NY,0.173622151
OH,0.17749278
OK,0.215677023
OR,0.198722343
PA,0.174191066
RI,0.186979132
SC,0.210960964
SD,0.201002949
TN,0.194657994
TX,0.222960859
UT,0.240307862
VA,0.197847297
VT,0.17227357
WA,0.181902375
WI,0.185428116
WV,0.179092487
WY,0.217163235
AK,0.162763662
DC,0.172337995
HI,0.248932659
