# File: L114.CapacityFactor_wind_state_segment.csv
# Title: wind technology capacity factor by state and load segment preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: ccn
# ----------
state,segment,capacity.factor
AL,Apr_day,0.32015207
AL,Apr_night,0.304356024
AL,Aug_day,0.154140229
AL,Aug_night,0.111981162
AL,Dec_day,0.358944191
AL,Dec_night,0.291442817
AL,Feb_day,0.32049011
AL,Feb_night,0.269880791
AL,Jan_day,0.337621009
AL,Jan_night,0.287261769
AL,Jul_day,0.139294394
AL,Jul_night,0.103038995
AL,Jun_day,0.181090431
AL,Jun_night,0.141413589
AL,Mar_day,0.319413404
AL,Mar_night,0.285917583
AL,May_day,0.254486193
AL,May_night,0.224877937
AL,Nov_day,0.319007539
AL,Nov_night,0.257000433
AL,Oct_day,0.305664045
AL,Oct_night,0.238073361
AL,Sep_day,0.265192722
AL,Sep_night,0.214078819
AL,superpeak,0.013862687
AR,Apr_day,0.439357851
AR,Apr_night,0.398815447
AR,Aug_day,0.242901144
AR,Aug_night,0.18450547
AR,Dec_day,0.427237237
AR,Dec_night,0.353330373
AR,Feb_day,0.364114145
AR,Feb_night,0.305046392
AR,Jan_day,0.395219291
AR,Jan_night,0.322061414
AR,Jul_day,0.236330642
AR,Jul_night,0.159648093
AR,Jun_day,0.271580425
AR,Jun_night,0.198532149
AR,Mar_day,0.395833081
AR,Mar_night,0.340979475
AR,May_day,0.344137143
AR,May_night,0.299341444
AR,Nov_day,0.390321436
AR,Nov_night,0.318303788
AR,Oct_day,0.38909937
AR,Oct_night,0.29526918
AR,Sep_day,0.287006686
AR,Sep_night,0.241146085
AR,superpeak,0.085516214
AZ,Apr_day,0.311349438
AZ,Apr_night,0.339594962
AZ,Aug_day,0.20590156
AZ,Aug_night,0.190820371
AZ,Dec_day,0.38056363
AZ,Dec_night,0.271210114
AZ,Feb_day,0.328891408
AZ,Feb_night,0.281782131
AZ,Jan_day,0.354661946
AZ,Jan_night,0.257274498
AZ,Jul_day,0.219089185
AZ,Jul_night,0.214566475
AZ,Jun_day,0.255374701
AZ,Jun_night,0.315352551
AZ,Mar_day,0.308104979
AZ,Mar_night,0.280821841
AZ,May_day,0.260279542
AZ,May_night,0.315638673
AZ,Nov_day,0.351271237
AZ,Nov_night,0.250295236
AZ,Oct_day,0.311654834
AZ,Oct_night,0.253211387
AZ,Sep_day,0.264526628
AZ,Sep_night,0.219679123
AZ,superpeak,0.124338869
CA,Apr_day,0.374681798
CA,Apr_night,0.324440148
CA,Aug_day,0.303061718
CA,Aug_night,0.256011269
CA,Dec_day,0.431281338
CA,Dec_night,0.340954359
CA,Feb_day,0.399571787
CA,Feb_night,0.313780706
CA,Jan_day,0.404048253
CA,Jan_night,0.321884557
CA,Jul_day,0.305507803
CA,Jul_night,0.259245021
CA,Jun_day,0.342243171
CA,Jun_night,0.312201924
CA,Mar_day,0.379289952
CA,Mar_night,0.300545871
CA,May_day,0.356641523
CA,May_night,0.305959345
CA,Nov_day,0.399240176
CA,Nov_night,0.287387207
CA,Oct_day,0.375214097
CA,Oct_night,0.275008024
CA,Sep_day,0.308079828
CA,Sep_night,0.234726085
CA,superpeak,0.176721475
CO,Apr_day,0.36038403
CO,Apr_night,0.318947094
CO,Aug_day,0.258166156
CO,Aug_night,0.171726744
CO,Dec_day,0.458010103
CO,Dec_night,0.367475456
CO,Feb_day,0.409975813
CO,Feb_night,0.321504226
CO,Jan_day,0.437658773
CO,Jan_night,0.356501811
CO,Jul_day,0.233070582
CO,Jul_night,0.165412287
CO,Jun_day,0.286715045
CO,Jun_night,0.233641527
CO,Mar_day,0.36580564
CO,Mar_night,0.299144477
CO,May_day,0.286372861
CO,May_night,0.263695889
CO,Nov_day,0.426697049
CO,Nov_night,0.32150254
CO,Oct_day,0.410951717
CO,Oct_night,0.300758734
CO,Sep_day,0.334674202
CO,Sep_night,0.241790916
CO,superpeak,0.168272248
CT,Apr_day,0.231913918
CT,Apr_night,0.256615632
CT,Aug_day,0.146185959
CT,Aug_night,0.180788871
CT,Dec_day,0.326921181
CT,Dec_night,0.308400394
CT,Feb_day,0.317513721
CT,Feb_night,0.317576647
CT,Jan_day,0.327843548
CT,Jan_night,0.311084024
CT,Jul_day,0.167369324
CT,Jul_night,0.209520769
CT,Jun_day,0.162839169
CT,Jun_night,0.218539738
CT,Mar_day,0.283830733
CT,Mar_night,0.318323399
CT,May_day,0.23117373
CT,May_night,0.276318765
CT,Nov_day,0.285523974
CT,Nov_night,0.277039503
CT,Oct_day,0.274963911
CT,Oct_night,0.320667503
CT,Sep_day,0.200979715
CT,Sep_night,0.238450579
CT,superpeak,0.032120482
DE,Apr_day,0.276947584
DE,Apr_night,0.233499912
DE,Aug_day,0.120840476
DE,Aug_night,0.151463133
DE,Dec_day,0.303859508
DE,Dec_night,0.283038251
DE,Feb_day,0.300276267
DE,Feb_night,0.305083126
DE,Jan_day,0.336053867
DE,Jan_night,0.310345199
DE,Jul_day,0.115407143
DE,Jul_night,0.141252992
DE,Jun_day,0.155917918
DE,Jun_night,0.179875645
DE,Mar_day,0.310992434
DE,Mar_night,0.32637699
DE,May_day,0.195973514
DE,May_night,0.203213909
DE,Nov_day,0.270743682
DE,Nov_night,0.278676112
DE,Oct_day,0.21734609
DE,Oct_night,0.204720374
DE,Sep_day,0.20111586
DE,Sep_night,0.202342511
DE,superpeak,0.078645555
FL,Apr_day,0.248092088
FL,Apr_night,0.274354847
FL,Aug_day,0.099746226
FL,Aug_night,0.120541958
FL,Dec_day,0.314768825
FL,Dec_night,0.256564165
FL,Feb_day,0.285004752
FL,Feb_night,0.238404849
FL,Jan_day,0.309982844
FL,Jan_night,0.249262934
FL,Jul_day,0.099498051
FL,Jul_night,0.120968947
FL,Jun_day,0.114574321
FL,Jun_night,0.142405129
FL,Mar_day,0.289687388
FL,Mar_night,0.257786375
FL,May_day,0.154597577
FL,May_night,0.194184117
FL,Nov_day,0.27337969
FL,Nov_night,0.226138684
FL,Oct_day,0.23826739
FL,Oct_night,0.220469282
FL,Sep_day,0.186414752
FL,Sep_night,0.186622768
FL,superpeak,0.328446376
GA,Apr_day,0.312555451
GA,Apr_night,0.298400851
GA,Aug_day,0.166966622
GA,Aug_night,0.128026674
GA,Dec_day,0.356081346
GA,Dec_night,0.294545445
GA,Feb_day,0.311234235
GA,Feb_night,0.284610844
GA,Jan_day,0.339325877
GA,Jan_night,0.30710806
GA,Jul_day,0.14826283
GA,Jul_night,0.10958405
GA,Jun_day,0.183116437
GA,Jun_night,0.151259826
GA,Mar_day,0.326487422
GA,Mar_night,0.299464168
GA,May_day,0.246481085
GA,May_night,0.232542979
GA,Nov_day,0.326677016
GA,Nov_night,0.271957696
GA,Oct_day,0.274710091
GA,Oct_night,0.256114771
