# Set zero price multiplier for geothermal resource for dispatch techs
region,dispatch.sector,subsector,capacity.technology,year,minicam.energy.input,price.unit.conversion
CA,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2005,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2005,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2010,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2010,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2015,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2015,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2020,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2020,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2025,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2025,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2030,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2030,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2035,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2035,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2040,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2040,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2045,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2045,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2050,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2050,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2055,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2055,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2060,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2060,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2065,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2065,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
