# File: PLEXOS_World_memberships.csv
# Title: PLEXOS-World Memberships Mapping File
# Units: N/A (mapping file)
# Source: Brinkerink; Deane; 2020; PLEXOS-World 2015; https://doi.org/10.7910/DVN/CBYXBY; Harvard Dataverse; V6; U; UNF:6:fyT1L5t+sHlvSHolxelaVg==[PLEXOS-World 2015 Gold V1.1.tab]
# Comments: 'Memberships' sheet from PLEXOS-World 2015 Gold V1.1.tab. PLEXOS-World 2015 model in raw data format. As part of the model data this file includes among others all global power plant capacities as well as existing NTC transmission capacities between countries and sub-country regions as of 2015. See the supplementary material document and the main journal paper for more detail. The most important sheets in the file are the 'Objects' sheet (includes all modeled objects); the 'Memberships' sheet (defines interrelationships between objects); the Attributes sheet (among others includes geolocations of objects) and the properties sheet (includes all quantified property values of objects).
# Column types: ccccc 
# ----------
parent_class,child_class,collection,parent_object,child_object
Generator,Fuel,Fuels,ARE_Sol_SheikhMohammed18307,Asia_Sol
Generator,Fuel,Fuels,ARG_Bio_Capacity Scaler,South America_Bio
Generator,Fuel,Fuels,ARG_Coa_Capacity Scaler,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_CENTRALBAHIAB91,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_CENTRALTERMICA98,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_COSTANERA113,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_CTECOENERGIA136,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_NECOCHEA236,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_PILARZANICHELL261,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_PUERTONUEVO267,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_SANNICOLAS278,South America_Coa
Generator,Fuel,Fuels,ARG_Coa_SORRENTO283,South America_Coa
Generator,Fuel,Fuels,ARG_Gas_AGUADELCAJON65,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_ALTOVALLE69,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_Capacity Scaler,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALLOMADE92,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALT_GENEL94,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALT_GENEL95,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALTERMICA96,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALTERMICA97,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALTERMICA99,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALTERMOEL102,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALTERMOEL103,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CENTRALTERMOEL104,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_COMODORORIVADA110,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CRUZDEPIEDRA114,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CT13DEJULIO116,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTBRAGADO125,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTCONCEPCIOND134,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTENSENADADE137,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTINDEPENDENCI142,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTLASARMAS152,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTLASARMASII153,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTMATHEU159,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTOLAVARRIA162,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTPARANA164,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTPINAMAR168,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTPLUSPETROLN170,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTROCA173,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTSANMIGUELD178,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_CTTUCUMAN184,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_DEANFUNES190,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_DIQUE191,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_DOCKSUD192,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_EXCENTRALBUEN201,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_FILOMORADO202,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_GENERACIONFRIA206,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_GENERALLEVALLE208,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_GOYAELECTROPA211,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_LAPLATACOGENE219,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_LATABLADA221,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_LUJANDECUYO229,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_MARDEAJO230,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_MARDELPLATA231,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_MODESTOMARANZA235,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_NUEVOPUERTO242,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_OBERATGN21243,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_PATAGONIA254,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_PICOTRUNCADOI257,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_PILARBICENTEN260,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_PRESIDENTESARM264,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_PUERTOMADRYN266,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_RIOCUARTO271,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_SANFRANCISCO276,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_SUDOESTE284,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_TARTAGAL285,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_TENARISSIDERCA286,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_VILLAGESELL291,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_VILLAMARIALA292,South America_Gas
Generator,Fuel,Fuels,ARG_Gas_VUELTADEOBLIG293,South America_Gas
Generator,Fuel,Fuels,ARG_Hyd_AGUADELTORO66,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ALICURA67,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ALVAREZCONDARC71,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ARROYITO72,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_BENJAMINREOLIN77,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CABRACORRAL82,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CACHEUTANUEVA83,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CASADEPIEDRA89,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CASSAFFOUSTH90,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CHLOSCARACOLE105,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CIPOLLETTI108,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_CUESTADELVIEN189,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ELCADILLAL193,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ELCARRIZAL194,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ELCHOCON195,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ELTIGRE196,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ELTUNAL197,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ESCABA199,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_FITZSIMON203,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_FLORENTINOAMEG204,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_FUTALEUFU205,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_GENERALSANMAR209,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_GUILLERMOCESPE212,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_H_PICHIPICUN213,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_JULIANROMERO217,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LASMADERAS223,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LAVIA222,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LOSCORONELES224,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LOSMOLINOSI225,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LOSMOLINOSII226,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LOSQUIROGA227,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_LOSREYUNOS228,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_NIHUILI237,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_NIHUILII238,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_NIHUILIII239,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_NIHUILIV240,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_PIEDRADELAGUI258,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_PIEDRASMORAS259,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_PLANICIEBANDER262,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_PUEBLOVIEJO265,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_QUEBRADADEULL269,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_RIOCORRALITO270,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_RIOGRANDE272,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_RIOHONDO273,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_SALTOANDERSEN274,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_SALTOGRANDEM275,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_SANROQUE280,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_ULLUM288,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_URUGUAI289,South America_Hyd
Generator,Fuel,Fuels,ARG_Hyd_YACYRETA294,South America_Hyd
Generator,Fuel,Fuels,ARG_Nuc_ATUCHAI73,South America_Nuc
Generator,Fuel,Fuels,ARG_Nuc_ATUCHAII74,South America_Nuc
Generator,Fuel,Fuels,ARG_Nuc_EMBALSE198,South America_Nuc
Generator,Fuel,Fuels,ARG_Oil_ALMIRANTEBROWN68,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_ALUMINE70,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_BANDERA75,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_BARILOCHEPUER76,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_BERNARDODEIR78,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_C_T_RUFINO79,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_C_T_SANVICENT80,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CAACATI81,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CACHI84,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CAFAYATE85,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_Capacity Scaler,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CAPITALCATAMAR86,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CAPITALCATAMAR87,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CAPITALCATAMAR88,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CENTRALPARQUE93,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CENTRALTERMICA100,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CENTRALTERMICA101,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CHILECITO106,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_COMANDANTEANDR109,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CORRIENTES112,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CRUZDELEJE115,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTAATUYA121,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTAATUYAII122,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTALEM117,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTALUMINE118,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTARISTOBULOD119,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTARRECIFES120,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTBARILOCHE123,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTBELLVILLE124,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCAPITANSARM126,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCATAMARCA127,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCAVIAHUE128,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCERES129,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCHARATA130,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCHILECITO131,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCIPOLLETTI132,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCOLONBUENOS133,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTCORRIENTES135,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTESQUINA138,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTFORMOSAII139,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTGENERALVILL140,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTGOYA141,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTINGENIEROJU143,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTINTACATAMAR144,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTISLAVERDE145,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTJUANJOSECA146,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTJUNIN147,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLAGUNABLANC151,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLAPLATA148,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLARIOJADEL149,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLARIOJASUR150,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLASPALMAS154,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLIBERTADORG155,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLINCOLN156,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTLOBOS157,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTMAGDALENA158,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTMEDANITOSR160,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTMIRAMARI161,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTORAN163,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTPARQUEINDUS165,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTPASODELAP166,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTPEHUAJO167,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTPIRANE169,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTRAFAELA171,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTREALICO172,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTSAENZPEA174,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTSAENZPEA175,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTSALTO176,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTSANMARTINN177,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTSANMIGUELN179,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTSANTAROSA180,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTTARTAGAL181,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTTEREVINTOS182,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTTINOGASTA183,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTVENADOTUERT185,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTVIALE186,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTVILLAANGELA187,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_CTVILLAREGINA188,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_ESQUINA200,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_GOYA210,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_ISLAVERDE214,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_ITAIBATE215,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_ITUZAINGO216,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_LACRUZ218,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_LARIOJA220,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_MBURUCUYA233,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_MERCEDES234,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_NUEVAESPERANZA241,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_ORENSE244,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_PASODELOSLIB253,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_PERUGORRIA255,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_SANMARTINDEL277,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_SANPEDRO279,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_SANTAISABEL281,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_SANTOTOME282,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_TOSTADO287,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oil_VENADOTUERTO290,SA-ARG Oil
Generator,Fuel,Fuels,ARG_Oth_AGUADELCAJON64,South America_Oth
Generator,Fuel,Fuels,ARG_Oth_PARANA245,South America_Oth
Generator,Fuel,Fuels,ARG_Sol_CHIMBERA1107,South America_Sol
Generator,Fuel,Fuels,ARG_Sol_PLANTAPILOTOF263,South America_Sol
Generator,Fuel,Fuels,ARG_Win_Capacity Scaler,South America_Win
Generator,Fuel,Fuels,ARG_Win_COMODORORIVADA111,South America_Win
Generator,Fuel,Fuels,ARG_Win_GENERALACHA207,South America_Win
Generator,Fuel,Fuels,ARG_Win_MAYORBURATOVIC232,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOA246,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOA247,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOD248,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOE249,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOL250,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOR251,South America_Win
Generator,Fuel,Fuels,ARG_Win_PARQUEEOLICOR252,South America_Win
Generator,Fuel,Fuels,ARG_Win_PICOTRUNCADO256,South America_Win
Generator,Fuel,Fuels,ARG_Win_PUNTAALTACE268,South America_Win
Generator,Fuel,Fuels,ARM_Gas_Capacity Scaler,Europe_Gas
Generator,Fuel,Fuels,ARM_Gas_Hrazadan296,Europe_Gas
Generator,Fuel,Fuels,ARM_Gas_NewYerevan297,Europe_Gas
Generator,Fuel,Fuels,ARM_Gas_Yerevan302,Europe_Gas
Generator,Fuel,Fuels,ARM_Hyd_Capacity Scaler,Europe_Hyd
Generator,Fuel,Fuels,ARM_Hyd_SevanHrazdanC298,Europe_Hyd
Generator,Fuel,Fuels,ARM_Hyd_Shamb299,Europe_Hyd
Generator,Fuel,Fuels,ARM_Hyd_Spandaryan300,Europe_Hyd
Generator,Fuel,Fuels,ARM_Hyd_Tatev301,Europe_Hyd
Generator,Fuel,Fuels,ARM_Nuc_Armenian2295,Europe_Nuc
Generator,Fuel,Fuels,ATA_Oil_McMurdoStation62,OC-ATA Oil
Generator,Fuel,Fuels,ATA_Win_RossIsland63,Oceania_Win
Generator,Fuel,Fuels,AUS_Bio_Broadwater341,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_CondongSugarM393,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_InkermanSugar454,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_InvictaSugarM455,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_IsisCentralSu456,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_KalamiaSugarM465,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_MacknadeSugar519,Oceania_Bio
Generator,Fuel,Fuels,AUS_Bio_Maryborough522,Oceania_Bio
