# File: PLEXOS_World_memberships.csv
# Title: PLEXOS-World Memberships Mapping File
# Units: N/A (mapping file)
# Source: Brinkerink; Deane; 2020; PLEXOS-World 2015; https://doi.org/10.7910/DVN/CBYXBY; Harvard Dataverse; V6; U; UNF:6:fyT1L5t+sHlvSHolxelaVg==[PLEXOS-World 2015 Gold V1.1.tab]
# Comments: 'Memberships' sheet from PLEXOS-World 2015 Gold V1.1.tab. PLEXOS-World 2015 model in raw data format. As part of the model data this file includes among others all global power plant capacities as well as existing NTC transmission capacities between countries and sub-country regions as of 2015. See the supplementary material document and the main journal paper for more detail. The most important sheets in the file are the 'Objects' sheet (includes all modeled objects); the 'Memberships' sheet (defines interrelationships between objects); the Attributes sheet (among others includes geolocations of objects) and the properties sheet (includes all quantified property values of objects).
# Column types: ccccc 
# ----------
parent_class,child_class,collection,parent_object,child_object
Generator,Fuel,Fuels,AFG_Gas_Capacity Scaler,Asia_Gas
Generator,Fuel,Fuels,AFG_Gas_NorthwestKabul5,Asia_Gas
Generator,Fuel,Fuels,AFG_Hyd_Capacity Scaler,Asia_Hyd
Generator,Fuel,Fuels,AFG_Hyd_KajakiHydroele1,Asia_Hyd
Generator,Fuel,Fuels,AFG_Hyd_MahiparHydroel2,Asia_Hyd
Generator,Fuel,Fuels,AFG_Hyd_NaghluDamHydr3,Asia_Hyd
Generator,Fuel,Fuels,AFG_Hyd_NangarharDaru4,Asia_Hyd
Generator,Fuel,Fuels,AFG_Hyd_PuleKhumriHy6,Asia_Hyd
Generator,Fuel,Fuels,AFG_Hyd_SarobiDamHydr7,Asia_Hyd
Generator,Fuel,Fuels,AGO_Gas_Capacity Scaler,Africa_Gas
Generator,Fuel,Fuels,AGO_Gas_Cazenga52,Africa_Gas
Generator,Fuel,Fuels,AGO_Gas_Lobito54,Africa_Gas
Generator,Fuel,Fuels,AGO_Gas_Namibe59,Africa_Gas
Generator,Fuel,Fuels,AGO_Hyd_Biopiohydro49,Africa_Hyd
Generator,Fuel,Fuels,AGO_Hyd_Cambambe50,Africa_Hyd
Generator,Fuel,Fuels,AGO_Hyd_Capacity Scaler,Africa_Hyd
Generator,Fuel,Fuels,AGO_Hyd_Capanda51,Africa_Hyd
Generator,Fuel,Fuels,AGO_Hyd_Matala58,Africa_Hyd
Generator,Fuel,Fuels,AGO_Hyd_RioLuachimo60,Africa_Hyd
Generator,Fuel,Fuels,AGO_Oil_Biopio48,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Oil_Capacity Scaler,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Oil_Huambo53,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Oil_LuandaDiesel55,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Oil_LuandaRefinery56,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Oil_Malongo57,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Oil_Xitoto61,AF-AGO Oil
Generator,Fuel,Fuels,AGO_Sol_Capacity Scaler,Africa_Sol
Generator,Fuel,Fuels,ALB_Hyd_Bistrica18,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_Capacity Scaler,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_Fierza9,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_Koman10,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_Lanabregas11,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_Shkopet12,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_Ulez13,Europe_Hyd
Generator,Fuel,Fuels,ALB_Hyd_VauiDijes14,Europe_Hyd
Generator,Fuel,Fuels,ALB_Oth_Vlora15,Europe_Oth
Generator,Fuel,Fuels,ARE_Csp_Capacity Scaler,Asia_Csp
Generator,Fuel,Fuels,ARE_Csp_Shams18306,Asia_Csp
Generator,Fuel,Fuels,ARE_Gas_Ajman18288,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_AlMirfaPower18289,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_APCUAN18287,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_AweerHPh18290,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_AweerHPh18291,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_Capacity Scaler,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_ESWPCFujF118292,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_FAPCOFujF218293,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_HamriyahPower18294,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliD18295,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliE18296,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliG18297,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliK18298,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliL18299,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliL18300,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_JebelAliM18301,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_KhorfakkanStat18302,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_LayyahPowerSt18303,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_NewMirfahMIP18305,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_ShuweihatS118308,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_TAPCO18309,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_TaweelahA118310,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_TaweelahA218311,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_WasitPowerSta18312,Asia_Gas
Generator,Fuel,Fuels,ARE_Gas_zawra18313,Asia_Gas
Generator,Fuel,Fuels,ARE_Sol_Capacity Scaler,Asia_Sol
Generator,Fuel,Fuels,ARE_Sol_MasdarCityPV18304,Asia_Sol
