# File: EIA_860_generators_existing_2015.csv
# Title: EIA Form 860 capacity data for year 2015 - copied from file Generators2015
# Unit: MW
# Comments: Selected columns from original form
# Source: https://www.eia.gov/electricity/data/eia860/
# Column types: icncci
# ----------
Plant.Code,Prime.Mover,Nameplate.MW,Energy.Source.1,Sector.Name,Operating.Year
2,HY,53.9,WAT,Electric Utility,1963
3,ST,153.1,NG,Electric Utility,1954
3,ST,153.1,NG,Electric Utility,1954
3,ST,403.7,BIT,Electric Utility,1969
3,ST,788.8,BIT,Electric Utility,1971
3,CT,170.1,NG,Electric Utility,2000
3,CT,170.1,NG,Electric Utility,2000
3,CA,195.2,NG,Electric Utility,2000
3,CT,170.1,NG,Electric Utility,2000
3,CT,170.1,NG,Electric Utility,2000
3,CA,195.2,NG,Electric Utility,2000
4,HY,75,WAT,Electric Utility,1967
4,HY,75,WAT,Electric Utility,1967
4,HY,75,WAT,Electric Utility,1967
7,ST,69,NG,Electric Utility,1949
7,ST,69,NG,Electric Utility,1949
8,ST,788.8,BIT,Electric Utility,1972
8,ST,187.5,BIT,Electric Utility,1956
8,ST,190.4,BIT,Electric Utility,1958
9,GT,80.5,NG,Electric Utility,1980
10,ST,299.2,BIT,Electric Utility,1965
10,ST,269.2,BIT,Electric Utility,1966
10,GT,80,NG,Electric Utility,1996
10,GT,80,NG,Electric Utility,1996
10,GT,80,NG,Electric Utility,1995
10,GT,80,NG,Electric Utility,1995
10,GT,80,NG,Electric Utility,1995
10,GT,80,NG,Electric Utility,1995
10,GT,80,NG,Electric Utility,1995
10,GT,80,NG,Electric Utility,1996
10,GT,80,NG,Electric Utility,1996
11,HY,24.3,WAT,Electric Utility,1966
11,HY,24.3,WAT,Electric Utility,1966
11,HY,24.3,WAT,Electric Utility,1966
12,HY,46.9,WAT,Electric Utility,1968
13,HY,25,WAT,Electric Utility,1929
13,HY,25,WAT,Electric Utility,1929
13,HY,25,WAT,Electric Utility,1929
13,HY,25,WAT,Electric Utility,1929
14,HY,42.7,WAT,Electric Utility,1964
14,HY,42.7,WAT,Electric Utility,1964
14,HY,42.7,WAT,Electric Utility,1964
15,HY,29.5,WAT,Electric Utility,1968
15,HY,29.5,WAT,Electric Utility,1968
15,HY,29.5,WAT,Electric Utility,1967
15,HY,29.5,WAT,Electric Utility,1967
15,HY,29.5,WAT,Electric Utility,1967
15,HY,29.5,WAT,Electric Utility,1967
16,HY,50.2,WAT,Electric Utility,1927
16,HY,50.2,WAT,Electric Utility,1927
16,HY,50.2,WAT,Electric Utility,1927
16,HY,60,WAT,Electric Utility,1952
17,HY,20,WAT,Electric Utility,1949
17,HY,50,WAT,Electric Utility,1985
17,HY,50,WAT,Electric Utility,1985
17,HY,50,WAT,Electric Utility,1985
18,HY,90.5,WAT,Electric Utility,1961
18,HY,90.5,WAT,Electric Utility,1962
19,HY,40.5,WAT,Electric Utility,1931
19,HY,40.5,WAT,Electric Utility,1931
19,HY,10,WAT,Electric Utility,1931
20,HY,29.2,WAT,Electric Utility,1962
20,HY,29.2,WAT,Electric Utility,1961
20,HY,29.2,WAT,Electric Utility,1961
21,HY,25.5,WAT,Electric Utility,1928
21,HY,25,WAT,Electric Utility,1928
26,ST,272,BIT,Electric Utility,1960
26,ST,272,BIT,Electric Utility,1960
26,ST,272,BIT,Electric Utility,1961
26,ST,952,BIT,Electric Utility,1974
26,GT,21.2,DFO,Electric Utility,1970
26,ST,244.8,NG,Electric Utility,1962
30,IC,3.1,NG,Electric Utility,2001
30,IC,2,NG,Electric Utility,1965
30,IC,1.1,NG,Electric Utility,1959
30,IC,4.3,NG,Electric Utility,1973
30,IC,1.3,NG,Electric Utility,1954
34,HY,12.1,WAT,IPP Non-CHP,1980
38,HY,33.7,WAT,Electric Utility,1970
38,HY,33.7,WAT,Electric Utility,1970
38,HY,33.7,WAT,Electric Utility,1970
46,ST,1152,NUC,Electric Utility,1974
46,ST,1152,NUC,Electric Utility,1975
46,ST,1190,NUC,Electric Utility,1977
47,ST,200,BIT,Electric Utility,1955
47,ST,200,BIT,Electric Utility,1955
47,ST,200,BIT,Electric Utility,1955
47,ST,200,BIT,Electric Utility,1955
47,ST,550,BIT,Electric Utility,1965
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
47,GT,59.5,NG,Electric Utility,1972
48,HY,28.8,WAT,Electric Utility,1939
48,HY,28.8,WAT,Electric Utility,1939
48,HY,28.8,WAT,Electric Utility,1939
48,HY,28.8,WAT,Electric Utility,1952
49,HY,35.1,WAT,Electric Utility,1936
49,HY,36,WAT,Electric Utility,1963
49,HY,43.6,WAT,Electric Utility,1963
49,HY,35.1,WAT,Electric Utility,1937
