# File: EIA_elec_gen_hydro.csv
# Title: U.S. EIA Historical Electricity Generation from Hydropower
# Units: GWh
# Comments: Filtered from Net Generation by State by Type of Producer by Energy Source. Filters: 'TYPE OF PRODUCER = 'Total Electric Power Industry; 'ENERGY SOURCE = 'Hydroelectric Conventional
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=04&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.HYC-CT-98.A&columnchart=ELEC.GEN.HYC-CT-98.A&map=ELEC.GEN.HYC-CT-98.A&freq=A&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0)
# Column types: ccciiiiiiiiiiiiiiiiiii 
# ----------
state,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Carolina,thousand megawatthours,ELEC.GEN.HYC-SC-98.A,1225,1389,3665,2445,2936,1805,1555,1123,2331,2375,1554,1420,3156,2566,2562,2224,1834,3011,2834
Virginia,thousand megawatthours,ELEC.GEN.HYC-VA-98.A,1013,867,1776,1583,1471,1345,1242,1002,1468,1488,1199,1032,1248,945,1146,1463,1116,1765,1551
West Virginia,thousand megawatthours,ELEC.GEN.HYC-WV-98.A,513,599,630,608,892,1048,806,821,1027,869,894,884,1080,713,832,1143,1125,1160,1096
Alabama,thousand megawatthours,ELEC.GEN.HYC-AL-98.A,8356,8825,12665,10626,10145,7252,4136,6136,12535,8704,8884,7435,12899,9467,9862,6985,9237,11143,10839
Kentucky,thousand megawatthours,ELEC.GEN.HYC-KY-98.A,3856,4025,3948,3780,2961,2592,1669,1917,3318,2580,2969,2362,3275,3144,3403,3478,4506,4418,4007
Mississippi,thousand megawatthours,ELEC.GEN.HYC-MS-98.A,,,,,,,,,,,,,,,,,,,
Tennessee,thousand megawatthours,ELEC.GEN.HYC-TN-98.A,6543,7317,11087,9649,8538,7167,4940,5646,10212,8138,9576,7673,11369,8901,9581,6774,8691,10293,9857
Arkansas,thousand megawatthours,ELEC.GEN.HYC-AR-98.A,2548,3436,2655,3643,3083,1551,3237,4660,4193,3659,2958,2198,2655,2640,3569,3570,2943,3009,2719
Louisiana,thousand megawatthours,ELEC.GEN.HYC-LA-98.A,732,891,892,1099,811,713,827,1064,1236,1109,1044,680,1045,1090,999,1103,906,1180,1147
Oklahoma,thousand megawatthours,ELEC.GEN.HYC-OK-98.A,2345,1988,1798,2977,2630,624,3066,3811,3553,2809,1507,1146,2178,1428,2664,2573,2036,2035,1824
Texas,thousand megawatthours,ELEC.GEN.HYC-TX-98.A,1200,1123,897,1301,1333,662,1644,1039,1029,1262,563,584,480,386,956,1342,1060,1125,997
Arizona,thousand megawatthours,ELEC.GEN.HYC-AZ-98.A,7624,7427,7075,6973,6410,6793,6598,7286,6427,6622,9174,6717,5915,6118,6536,7168,6832,6982,6096
Colorado,thousand megawatthours,ELEC.GEN.HYC-CO-98.A,1495,1209,1262,1195,1415,1791,1730,2039,1886,1578,2083,1497,1206,1764,1614,1891,1883,1812,1594
Idaho,thousand megawatthours,ELEC.GEN.HYC-ID-98.A,7223,8769,8354,8462,8542,11242,9022,9363,10434,9154,13405,10940,8473,9002,8757,9033,10670,11024,9112
Montana,thousand megawatthours,ELEC.GEN.HYC-MT-98.A,6613,9567,8702,8856,9587,10130,9364,10000,9506,9415,12596,11283,9638,11483,9888,10083,10946,11405,9409
Nevada,thousand megawatthours,ELEC.GEN.HYC-NV-98.A,2514,2268,1757,1615,1702,2058,2003,1751,2461,2157,2191,2440,2682,2389,2264,1789,1813,1881,2233
New Mexico,thousand megawatthours,ELEC.GEN.HYC-NM-98.A,237,265,171,139,165,198,268,312,271,217,195,223,92,98,99,148,193,150,133
Utah,thousand megawatthours,ELEC.GEN.HYC-UT-98.A,508,458,421,450,784,747,539,668,835,696,1230,748,505,633,769,760,1294,927,781
Wyoming,thousand megawatthours,ELEC.GEN.HYC-WY-98.A,879,584,594,593,808,843,729,835,967,1024,1224,893,711,869,868,973,1124,976,820
California,thousand megawatthours,ELEC.GEN.HYC-CA-98.A,25542,31141,36370,34141,39626,48040,27314,24128,27888,33424,42553,26835,23749,16527,13805,28930,42344,26320,40036
Oregon,thousand megawatthours,ELEC.GEN.HYC-OR-98.A,28645,34413,33250,33081,30948,37850,33587,33805,33034,30542,42315,39410,33098,35262,31254,34549,38294,35443,29526
Washington,thousand megawatthours,ELEC.GEN.HYC-WA-98.A,54674,77989,71702,71501,72023,81944,78781,77589,72886,68233,91815,89463,78155,79463,73405,78346,82183,80883,66181
Alaska,thousand megawatthours,ELEC.GEN.HYC-AK-98.A,1346,1439,1583,1498,1464,1224,1291,1172,1324,1433,1345,1575,1435,1539,1569,1491,1462,1489,1246
Hawaii,thousand megawatthours,ELEC.GEN.HYC-HI-98.A,50,35,40,57,62,82,55,45,77,29,45,56,34,42,63,53,29,62,35
