# File: calibrated_techs_dispatch_usa.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: NA
# Source: TODO
# Column types: cccccccccn
# ----------
sector,fuel,elec_tech,supplysector,subsector,technology,minicam.energy.input,calibration,secondary.output,capacity.factor
intermediate electricity,refined liquids,,electricity,refined liquids,refined liquids (CC CCS),refined liquids industrial,output,,0.6
intermediate electricity,refined liquids,,electricity,refined liquids,refined liquids (CC),refined liquids industrial,output,,0.6
intermediate electricity,biomass,,electricity,biomass,biomass (conv),regional biomass,output,,0.6
intermediate electricity,biomass,,electricity,biomass,biomass (conv CCS),regional biomass,output,,0.6
intermediate electricity,biomass,,electricity,biomass,biomass (IGCC),regional biomass,output,,0.6
intermediate electricity,biomass,,electricity,biomass,biomass (IGCC CCS),regional biomass,output,,0.6
intermediate electricity,nuclear,,electricity,nuclear,Gen_III,nuclearFuelGenIII,output,,0.6
intermediate electricity,wind,,electricity,wind,wind,onshore wind resource,output,,0.5
intermediate electricity,wind,,electricity,wind,wind_offshore,offshore wind resource,output,,0.5
intermediate electricity,solar PV,,electricity,solar,PV,global solar resource,output,,0.4
intermediate electricity,solar CSP,,electricity,solar,CSP,global solar resource,output,,0.4
intermediate electricity,geothermal,,electricity,geothermal,geothermal,geothermal,output,,0.6
baseload electricity,coal,,electricity,coal,coal (conv pul),regional coal,output,,0.9
baseload electricity,coal,,electricity,coal,coal (conv pul CCS),regional coal,output,,0.9
baseload electricity,coal,,electricity,coal,coal (IGCC),regional coal,output,,0.9
baseload electricity,coal,,electricity,coal,coal (IGCC CCS),regional coal,output,,0.9
baseload electricity,gas,,electricity,gas,gas (CC CCS),wholesale gas,output,,0.9
baseload electricity,gas,,electricity,gas,gas (CC),wholesale gas,output,,0.9
baseload electricity,refined liquids,,electricity,refined liquids,refined liquids (CC CCS),refined liquids industrial,output,,0.9
baseload electricity,refined liquids,,electricity,refined liquids,refined liquids (CC),refined liquids industrial,output,,0.9
baseload electricity,biomass,,electricity,biomass,biomass (conv),regional biomass,output,,0.9
baseload electricity,biomass,,electricity,biomass,biomass (conv CCS),regional biomass,output,,0.9
baseload electricity,biomass,,electricity,biomass,biomass (IGCC),regional biomass,output,,0.9
baseload electricity,biomass,,electricity,biomass,biomass (IGCC CCS),regional biomass,output,,0.9
baseload electricity,nuclear,,electricity,nuclear,Gen_III,nuclearFuelGenIII,output,,0.9
baseload electricity,wind,,electricity,wind,wind,onshore wind resource,output,,0.5
baseload electricity,wind,,electricity,wind,wind_offshore,offshore wind resource,output,,0.5
baseload electricity,solar PV,,electricity,solar,PV,global solar resource,output,,0.4
baseload electricity,solar CSP,,electricity,solar,CSP,global solar resource,output,,0.4
baseload electricity,geothermal,,electricity,geothermal,geothermal,geothermal,output,,0.9
