# File: NCAR_SSP_pop_state.csv
# Title: State-level Population Projections for US States under SSP scenarios
# Units: persons
# Source: DATASET: Jiang et al. (2020). Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways (v0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3956412; PUBLICATION: Jiang et al. 2020. Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways. Environmental Research Letters. https://doi.org/10.1088/1748-9326/aba5b1
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
State,SSP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,State_FIPS
Arkansas,3,2917270,2941458,2964973,2988058,3010512,3032838,3054487,3074815,3094190,3112514,3129783,3145915,3161107,3175369,3188686,3200980,3212257,3222832,3232692,3241840,3250260,3257989,3264975,3271143,3276548,3281165,3284986,3288083,3290513,3292265,3293311,3293635,3293414,3292591,3291129,3289195,3286738,3283977,3280457,3276672,3272605,3268291,3263757,3258887,3253737,3248250,3242517,3236410,3229908,3223026,3215841,3208101,3200029,3191651,3182751,3173345,3163521,3153567,3143233,3132419,3121020,3108850,3096140,3083138,3069795,3056112,3041888,3027371,3012296,2996656,2980751,2963983,2947041,2929891,2912249,2894476,2876320,2857932,2839264,2820307,2800966,2781122,2760999,2740925,2720755,2700544,2680270,2659656,2638450,2616742,2594694,5000
Arkansas,5,2917270,2942046,2966436,2991278,3016272,3041903,3067575,3093525,3121090,3150213,3180946,3213174,3246525,3281032,3316702,3353442,3391227,3429814,3469137,3509210,3550057,3591684,3634024,3676918,3720465,3764621,3809389,3854304,3899518,3944977,3990655,4036613,4083024,4129858,4176986,4224921,4273586,4322696,4371102,4420057,4469585,4519640,4570286,4621243,4672581,4724174,4776118,4828474,4881149,4934166,4987844,5041505,5095844,5150947,5206387,5262251,5318707,5376431,5434831,5493714,5552837,5611611,5670491,5730097,5790245,5850881,5911289,5971998,6032404,6092409,6152567,6211559,6270838,6330325,6389534,6449181,6508604,6568025,6627464,6686739,6745624,6803923,6862066,6920686,6979548,7038770,7098325,7158339,7218356,7278413,7338586,5000
California,2,37236690,37503708,37759364,38009531,38250747,38489130,38718056,38934849,39151473,39366928,39581096,39792767,40001312,40207121,40409973,40610283,40807815,41001970,41192483,41379033,41560908,41737499,41909365,42076565,42238814,42396380,42547928,42693977,42833658,42966900,43094693,43216847,43334576,43447245,43552676,43656286,43755886,43853756,43938317,44020317,44102725,44181212,44260132,44336978,44409867,44480688,44547231,44613440,44679451,44742930,44809269,44869564,44932454,44997487,45062376,45126332,45189361,45259100,45331063,45400527,45467702,45523584,45583586,45650419,45719277,45789845,45852861,45918029,45980587,46038191,46094977,46136358,46179434,46220827,46258977,46298728,46332561,46366899,46402150,46433482,46459828,46479407,46500574,46525589,46552916,46582387,46615562,46649431,46680548,46708090,46730352,6000
California,3,37236690,37501056,37754743,38000517,38235535,38465955,38685145,38884876,39070911,39242269,39398577,39538844,39665967,39780217,39881377,39969567,40044810,40110728,40166984,40213292,40249067,40273786,40287904,40291525,40284620,40267171,40238450,40199764,40150633,40091033,40021503,39942059,39853761,39756192,39648357,39533474,39410086,39281626,39142702,38999010,38852125,38700016,38545430,38387180,38224720,38058941,37889143,37716132,37540387,37360384,37179260,36991984,36803096,36612077,36417545,36219123,36016751,35814498,35609948,35400605,35186355,34962337,34737247,34512461,34285392,34056026,33819376,33581523,33339799,33093172,32844151,32584762,32324934,32062797,31797715,31532477,31263021,30993024,30722820,30449476,30172663,29891382,29610244,29330684,29051683,28773178,28496141,28217608,27935780,27650308,27360313,6000
California,5,37236690,37506104,37760769,38008985,38247056,38481250,38704737,38921049,39147842,39384370,39630732,39885568,40144511,40408295,40676755,40950308,41229242,41510788,41794559,42080610,42368251,42656604,42947229,43240552,43536101,43834473,44134154,44435884,44738608,45042249,45348268,45656941,45968872,46283293,46597602,46918912,47244545,47574426,47891988,48212547,48539796,48867808,49202267,49539192,49876430,50216491,50555959,50900234,51249350,51600336,51960244,52317807,52684692,53060030,53441251,53827758,54219375,54626488,55042751,55462492,55885293,56299347,56721991,57157427,57600061,58049122,58492120,58940627,59388083,59831493,60276121,60703539,61135121,61566751,61996149,62429708,62857758,63286821,63717666,64144813,64566815,64981577,65398239,65821144,66248597,66680979,67119164,67564968,68013889,68465115,68917095,6000
Colorado,2,5027370,5108565,5187872,5265950,5342293,5417768,5491366,5563018,5634459,5705583,5776416,5846798,5916660,5985896,6054512,6122547,6189880,6256556,6322439,6387432,6451501,6514543,6576675,6637894,6698210,6757538,6815829,6872889,6928804,6983476,7037017,7089672,7141294,7191955,7241441,7290577,7339144,7387155,7432715,7477618,7522410,7566644,7610541,7653679,7696162,7738131,7779366,7820193,7860790,7901147,7941307,7980622,8019714,8059122,8098289,8137306,8176147,8215942,8255567,8294636,8332606,8369098,8405089,8441782,8478688,8515611,8550994,8586410,8620938,8654341,8687198,8717677,8747956,8777524,8806422,8835058,8862767,8890188,8917629,8944383,8970160,8994460,9018432,9042896,9067417,9092060,9116966,9141436,9164799,9187083,9208019,8000
Colorado,3,5027370,5108234,5187098,5264231,5339206,5412892,5484292,5552088,5617086,5679152,5738286,5794327,5847921,5898998,5947540,5993564,6036979,6078458,6117900,6155223,6190384,6223300,6254132,6282857,6309464,6333914,6356180,6376401,6394632,6410844,6425107,6437551,6448177,6457005,6463966,6469499,6473456,6476247,6476907,6476389,6475069,6472662,6469394,6465067,6459737,6453519,6446294,6438065,6428903,6418849,6407852,6395649,6382451,6368557,6353663,6337776,6320886,6303627,6285345,6265844,6244862,6222184,6198327,6173986,6148924,6123076,6095594,6067431,6038084,6007494,5976048,5942745,5908823,5874002,5838372,5802167,5765073,5727424,5689440,5650748,5611202,5570509,5529335,5488157,5446721,5405039,5363253,5320747,5277163,5232559,5186795,8000
Colorado,5,5027370,5108865,5189437,5269980,5349936,5430112,5509420,5589026,5671445,5756527,5844311,5934550,6026287,6119342,6213721,6309407,6406215,6503834,6602031,6700691,6799767,6899079,6998889,7099205,7200007,7301162,7402554,7503256,7603422,7703053,7802362,7901691,8000767,8099720,8198258,8297600,8397526,8497514,8594788,8691963,8789880,8887818,8986109,9084229,9182221,9280327,9378152,9476234,9574820,9673769,9773374,9872684,9972749,10074156,10176320,10279330,10383187,10489500,10596812,10704642,10812340,10919025,11025919,11134617,11244392,11355068,11464546,11574655,11684120,11792622,11900974,12006605,12112467,12218081,12323149,12428572,12533040,12637321,12741665,12845280,12947774,13048704,13149385,13250950,13352996,13455653,13558956,13663193,13767541,13871963,13976239,8000
Connecticut,2,3582333,3589747,3596367,3602586,3608215,3613729,3618584,3622670,3626888,3631180,3635664,3640108,3644601,3648997,3653402,3657720,3661890,3665875,3669509,3672848,3675962,3678722,3680981,3683121,3685028,3686667,3687914,3688787,3689191,3689330,3689025,3688512,3687755,3686554,3684628,3682910,3681203,3679433,3676174,3673029,3670216,3667403,3664798,3661927,3659056,3655924,3652497,3649411,3646285,3642839,3639821,3636934,3634158,3631878,3629933,3627905,3626174,3625435,3625285,3625328,3625611,3625302,3625584,3626605,3628374,3630704,3632501,3634589,3636371,3637506,3638726,3638771,3639035,3639215,3639167,3639138,3638910,3638513,3638172,3637333,3636051,3634113,3632070,3630539,3629195,3628383,3627757,3627414,3626734,3625899,3624703,9000
Connecticut,3,3582333,3589412,3595787,3601482,3606361,3610939,3614677,3617098,3618590,3619124,3618780,3617366,3615215,3612178,3608321,3603567,3597850,3591445,3584234,3576242,3567492,3557890,3547359,3536121,3524133,3511386,3497800,3483461,3468351,3452588,3436071,3418942,3401272,3382972,3363900,3344561,3324902,3305033,3284272,3263455,3242719,3221906,3201171,3180281,3159367,3138335,3117152,3096132,3075044,3053741,3032624,3011533,2990393,2969426,2948527,2927440,2906362,2885650,2865065,2844392,2823660,2802396,2781243,2760244,2739440,2718730,2697507,2676241,2654619,2632470,2610253,2587272,2564325,2541231,2517950,2494605,2471132,2447506,2423869,2399917,2375716,2351140,2326508,2302155,2277874,2253892,2229997,2206153,2181995,2157670,2133048,9000
Connecticut,5,3582333,3590051,3596531,3602462,3607615,3612473,3616431,3619871,3624145,3629214,3635256,3641994,3649318,3657068,3665450,3674365,3683783,3693544,3703496,3713737,3724371,3735257,3746294,3757954,3770138,3782819,3795806,3809210,3822869,3837006,3851415,3866369,3881722,3897231,3912452,3928684,3945620,3962916,3978404,3994408,4011243,4028431,4046287,4064149,4082362,4100605,4118743,4137652,4156850,4175996,4196055,4216493,4237513,4259489,4282257,4305405,4329311,4355030,4381912,4409479,4437688,4465409,4493991,4523860,4554957,4587064,4618753,4651078,4683248,4714862,4746688,4777091,4807893,4838730,4869369,4900307,4930972,4961608,4992394,5022721,5052510,5081504,5110395,5140030,5170089,5200802,5231882,5263762,5295816,5328087,5360452,9000
Delaware,2,899240,912062,924513,936751,948691,960500,972037,983292,994507,1005649,1016695,1027631,1038487,1049199,1059787,1070250,1080551,1090696,1100593,1110244,1119640,1128854,1137854,1146675,1155286,1163743,1171878,1179836,1187597,1195071,1202405,1209581,1216557,1223376,1229977,1236598,1243149,1249690,1255653,1261487,1267527,1273420,1279279,1285050,1290688,1296226,1301604,1306967,1312227,1317391,1322590,1327658,1332658,1337634,1342599,1347450,1352288,1357270,1362233,1367167,1372122,1376793,1381310,1386065,1390855,1395723,1400321,1404937,1409399,1413526,1417555,1421224,1424860,1428397,1431742,1435113,1438298,1441359,1444429,1447269,1449915,1452251,1454528,1456944,1459525,1462161,1464759,1467404,1469846,1472153,1474302,10000
Delaware,3,899240,911989,924344,936383,948030,959457,970530,981013,990981,1000402,1009249,1017512,1025350,1032714,1039618,1046056,1052005,1057568,1062692,1067373,1071605,1075437,1078868,1081920,1084569,1086850,1088663,1090148,1091303,1092084,1092577,1092775,1092665,1092280,1091600,1090754,1089694,1088535,1086959,1085224,1083521,1081643,1079668,1077574,1075330,1072964,1070447,1067819,1065032,1062093,1059067,1055865,1052519,1049040,1045442,1041658,1037745,1033791,1029698,1025462,1021116,1016488,1011641,1006802,1001859,996841,991559,986186,980626,974779,968793,962538,956192,949722,943080,936395,929551,922577,915561,908358,900997,893409,885745,878123,870567,862995,855359,847696,839856,831890,823790,10000
Delaware,5,899240,912128,924841,937581,950251,962998,975668,988481,1001796,1015575,1029791,1044427,1059340,1074442,1089752,1105252,1120891,1136598,1152251,1167845,1183375,1198919,1214425,1229926,1245384,1260855,1276133,1291299,1306332,1321134,1335898,1350616,1365220,1379773,1394211,1408841,1423561,1438350,1452466,1466507,1480885,1495177,1509529,1523866,1538132,1552368,1566478,1580668,1594831,1608961,1623225,1637402,1651624,1665938,1680349,1694753,1709255,1724093,1739069,1754159,1769379,1784366,1799280,1814572,1830029,1845677,1861061,1876512,1891818,1906793,1921699,1936156,1950630,1965049,1979291,1993652,2007846,2021957,2036107,2050068,2063855,2077349,2090807,2104488,2118356,2132370,2146444,2160762,2175092,2189459,2203839,10000
District of Columbia,2,602050,607735,613202,618546,623764,628885,633747,638431,643125,647789,652464,657095,661751,666346,670884,675330,679646,683814,687872,691789,695562,699221,702792,706279,709690,713018,716258,719407,722420,725309,728100,730819,733512,736065,738558,741022,743503,745959,748204,750434,752619,754766,756874,758946,760944,762903,764807,766710,768612,770474,772320,774166,775983,777785,779538,781296,782993,784743,786506,788257,789957,791516,793058,794612,796143,797709,799206,800704,802161,803532,804862,806076,807271,808448,809552,810689,811775,812844,813925,814975,815989,816925,817844,818831,819857,820914,821972,823012,823984,824898,825742,11000
District of Columbia,3,602050,607695,613156,618480,623671,628754,633571,637878,641754,645170,648184,650750,653154,655324,657264,658944,660339,661520,662514,663295,663865,664252,664488,664574,664516,664301,663925,663463,662877,662158,661319,660368,659328,658121,656792,655364,653862,652301,650564,648782,646931,645022,643064,641057,638986,636871,634708,632468,630153,627742,625245,622684,620030,617292,614445,611525,608482,605394,602234,598992,595640,592125,588532,584876,581141,577367,573490,569561,565552,561438,557252,552951,548598,544198,539711,535214,530653,526048,521421,516750,512028,507222,502374,497549,492729,487897,483032,478117,473121,468052,462901,11000
District of Columbia,5,602050,607770,613047,618026,622738,627218,631303,635399,639798,644446,649364,654450,659563,664601,669570,674416,679089,683526,687757,691758,695516,699063,702473,705750,708933,712043,715093,718287,721575,725000,728612,732456,736544,740774,745206,749888,754848,759961,765038,770256,775595,781022,786528,792120,797749,803433,809134,814922,820785,826689,832683,838745,844895,851148,857472,863903,870395,877052,883829,890689,897593,904445,911320,918253,925230,932282,939319,946392,953470,960515,967561,974503,981458,988427,995378,1002389,1009386,1016385,1023396,1030384,1037350,1044275,1051199,1058189,1065225,1072313,1079432,1086624,1093842,1101087,1108352,11000
Florida,2,18795120,18938898,19076930,19212194,19343330,19472909,19598135,19718980,19840409,19962075,20084080,20205713,20326809,20447083,20566481,20684743,20802434,20919284,21034544,21148085,21259857,21369830,21477765,21583937,21687878,21790185,21889297,21985649,22078872,22168842,22256100,22340864,22423642,22503357,22578701,22654986,22730800,22807074,22873602,22940963,23010327,23079138,23148379,23216570,23284371,23351655,23416589,23482339,23547900,23612483,23678332,23741891,23806191,23872110,23938180,24004644,24071282,24142992,24216675,24291363,24365349,24433180,24500560,24572161,24646565,24722915,24795711,24869164,24940179,25007304,25073677,25131519,25189666,25246108,25299634,25354033,25404475,25453783,25502777,25548924,25591652,25629492,25666899,25707620,25750070,25794357,25839650,25885220,25928096,25968017,26004491,12000
Florida,3,18795120,18937065,19073139,19204233,19329211,19450741,19566112,19671298,19768633,19857708,19938574,20010748,20076620,20135890,20188530,20234368,20273734,20308281,20337452,20361012,20379035,20391431,20398267,20399689,20395506,20385949,20370213,20349465,20323528,20292391,20256409,20215881,20171241,20121923,20067480,20010724,19950965,19889893,19821975,19753295,19684301,19613767,19542437,19469693,19395943,19321290,19244717,19167284,19088425,19007683,18926241,18841970,18756423,18670019,18581728,18491720,18399856,18308624,18216254,18122407,18025904,17923830,17819201,17714717,17609628,17503469,17393400,17281776,17167145,17048929,16928841,16802788,16675660,16546407,16414455,16281987,16146486,16009425,15871310,15730903,15587898,15441518,15294183,15147888,15001842,14855935,14709839,14562651,14412811,14260291,14104890,12000
Florida,5,18795120,18940560,19081918,19223791,19364715,19507259,19648604,19792909,19947549,20112254,20287104,20471469,20662300,20859184,21062088,21270710,21485662,21705782,21929852,22157645,22389000,22623815,22862136,23104104,23349015,23597558,23847707,24096549,24343590,24588812,24833013,25076932,25320806,25563089,25802238,26045615,26291529,26539528,26775236,27013412,27255930,27498990,27744220,27989189,28234895,28481323,28725772,28972931,29221252,29469621,29721641,29972026,30225771,30483891,30744724,31008378,31274622,31551172,31832958,32118663,32405931,32686861,32968560,33257998,33553089,33852565,34147432,34444364,34738570,35027971,35316740,35593852,35872153,36149492,36423660,36700108,36972033,37242595,37513028,37779778,38042033,38298216,38553607,38813980,39077392,39344426,39613838,39888218,40163635,40439613,40715667,12000
Georgia,2,9689280,9806209,9919281,10030438,10138663,10245623,10349249,10449029,10548377,10647149,10745381,10842860,10939592,11035329,11130192,11224143,11316996,11408607,11498974,11588061,11675785,11761882,11846349,11929183,12010444,12090339,12168562,12245122,12320083,12393156,12464592,12534449,12603133,12670560,12735974,12800939,12865332,12929367,12989660,13049182,13108995,13167986,13226884,13285058,13342351,13399118,13454530,13509837,13564432,13618589,13672452,13725095,13778054,13830452,13882249,13933981,13984872,14037585,14090209,14142649,14194244,14243555,14292011,14341601,14392351,14443929,14494101,14544302,14593841,14641726,14688841,14732809,14776752,14820667,14863400,14906378,14947822,14988467,15028966,15068203,15105409,15140711,15175338,15211085,15246887,15283413,15320200,15356599,15391014,15423502,15454018,13000
Georgia,3,9689280,9805409,9917654,10027089,10132900,10236695,10336520,10429968,10518626,10602348,10681081,10754566,10823898,10888916,10949593,11005903,11057687,11106069,11151017,11192551,11230589,11264958,11295716,11322902,11346561,11366861,11383709,11397404,11408060,11415564,11420023,11421404,11420149,11416152,11409053,11399619,11387886,11374540,11358037,11339891,11320609,11299841,11277929,11254673,11230053,11204282,11176955,11148495,11118500,11087212,11054651,11020342,10985031,10948168,10909783,10870118,10828697,10786912,10743855,10699373,10653120,10604379,10553948,10502825,10451055,10398526,10344122,10288716,10231982,10173457,10113676,10051451,9988466,9924792,9859835,9794415,9727612,9659848,9591498,9521965,9450822,9378225,9304820,9231606,9157970,9084338,9010427,8935660,8859175,8781079,8701415,13000
Georgia,5,9689280,9806885,9921479,10035628,10148186,10260705,10371010,10480614,10594397,10712271,10834359,10960359,11089048,11220174,11353861,11490093,11628634,11768647,11910123,12052970,12197140,12342239,12488472,12635833,12784361,12934277,13085128,13235857,13386615,13537183,13687859,13838792,13990450,14142699,14294563,14448367,14603976,14760614,14913318,15066532,15221697,15377279,15534195,15691452,15849002,16007217,16164960,16324006,16483530,16643849,16805399,16966858,17130478,17295380,17461418,17629177,17797884,17971158,18146492,18323579,18501622,18678222,18855045,19034899,19217530,19402467,19586371,19771226,19955681,20138512,20321075,20499690,20678958,20858644,21037349,21217130,21395319,21572725,21750055,21925906,22099472,22270684,22441273,22613707,22786890,22961390,23136742,23314035,23491492,23669041,23846550,13000
Hawaii,2,1355130,1369197,1382589,1395522,1407872,1419874,1431222,1442022,1452786,1463493,1474148,1484700,1495174,1505630,1515931,1526269,1536564,1546822,1556998,1567123,1577224,1587171,1597047,1606821,1616494,1626168,1635713,1645126,1654272,1663210,1671886,1680385,1688698,1696827,1704683,1712287,1719784,1727352,1734350,1741192,1748044,1754702,1761451,1768067,1774513,1780806,1787127,1793531,1799921,1806273,1812594,1818832,1825276,1831669,1837949,1844360,1850621,1857199,1863844,1870485,1876950,1882888,1888959,1895205,1901569,1907873,1913938,1920083,1926020,1931709,1937161,1942076,1946982,1951797,1956299,1960936,1965373,1969646,1973862,1977930,1981772,1985380,1989034,1992795,1996568,2000392,2004290,2008156,2011847,2015336,2018593,15000
Hawaii,3,1355130,1369098,1382416,1395183,1407296,1418984,1429954,1439824,1448862,1457055,1464413,1470903,1476848,1482313,1487189,1491637,1495614,1499264,1502570,1505549,1508205,1510457,1512381,1513951,1515165,1516097,1516675,1516993,1516955,1516604,1515898,1514871,1513533,1511880,1509852,1507479,1504838,1502145,1499011,1495709,1492324,1488751,1485180,1481482,1477649,1473676,1469694,1465627,1461429,1457074,1452567,1447889,1443182,1438295,1433182,1427978,1422509,1417071,1411491,1405733,1399699,1393179,1386567,1379888,1373109,1366123,1358848,1351471,1343836,1335940,1327783,1319208,1310523,1301702,1292604,1283525,1274249,1264800,1255241,1245529,1235619,1225516,1215393,1205275,1195093,1184873,1174637,1164279,1153718,1142935,1131925,15000
