# File: NCAR_SSP_pop_state.csv
# Title: State-level Population Projections for US States under SSP scenarios
# Units: persons
# Source: DATASET: Jiang et al. (2020). Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways (v0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3956412; PUBLICATION: Jiang et al. 2020. Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways. Environmental Research Letters. https://doi.org/10.1088/1748-9326/aba5b1
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
State,SSP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,State_FIPS
Alabama,2,4782789,4819519,4854886,4889755,4923643,4957330,4989923,5021100,5052386,5083607,5114853,5146020,5177024,5207724,5238218,5268323,5298054,5327496,5356577,5385410,5413995,5442326,5470423,5498040,5525386,5552498,5579134,5605413,5631341,5656708,5681848,5706480,5731018,5755325,5779112,5803088,5827150,5851428,5874131,5896684,5919702,5942556,5965887,5988980,6012061,6035015,6057712,6080515,6103275,6126079,6149142,6171911,6194797,6217955,6241225,6264407,6287578,6311541,6335794,6360020,6384080,6406976,6429662,6452834,6476554,6500388,6523744,6547070,6570068,6592386,6614426,6634940,6655288,6675727,6695819,6715940,6735377,6754731,6773871,6792483,6810295,6827062,6843669,6860992,6878469,6896164,6914137,6931932,6948942,6965115,6980436,1000
Alabama,3,4782789,4819043,4853929,4887850,4920345,4952246,4982680,5010617,5036725,5060853,5083065,5103273,5121810,5138569,5153583,5166708,5177985,5188053,5196833,5204442,5210898,5216177,5220352,5223269,5225073,5225788,5225288,5223799,5221283,5217665,5213132,5207520,5201104,5193810,5185476,5176466,5166715,5156636,5145270,5133374,5121331,5108777,5096116,5082949,5069456,5055576,5041232,5026540,5011395,4995826,4979963,4963477,4946556,4929267,4911495,4893100,4874120,4855002,4835434,4815278,4794448,4772425,4749694,4726633,4703311,4679511,4654973,4629950,4604317,4577898,4550952,4522829,4494290,4465513,4436279,4406794,4376698,4346324,4315586,4284337,4252425,4219730,4186755,4154005,4121128,4088173,4055195,4021853,3987832,3953130,3917760,1000
Alabama,5,4782789,4819910,4855979,4892238,4928158,4964514,5000375,5036140,5074120,5114187,5156415,5200749,5246630,5293907,5342740,5392904,5444402,5496997,5550587,5605351,5661234,5718249,5776478,5835547,5895689,5956929,6018983,6081416,6144263,6207327,6271056,6335128,6400069,6465726,6531729,6599077,6667642,6737129,6805137,6873607,6943367,7013571,7085027,7156799,7229172,7301993,7375039,7448883,7523295,7598362,7674480,7750840,7828151,7906591,7986016,8066224,8147320,8230455,8314881,8400219,8486216,8571502,8657047,8743874,8831977,8920872,9009484,9098455,9187245,9275361,9363417,9449627,9535948,9622581,9708970,9795867,9882225,9968549,10054837,10140606,10225538,10309382,10393055,10477708,10562774,10648392,10734540,10821585,10908743,10995945,11083177,1000
Alaska,2,708670,690720,674001,658509,644026,630584,617979,606132,595232,585186,575970,567543,559843,552795,546357,540454,535043,530080,525564,521450,517683,514241,511090,508213,505590,503222,501103,499172,497390,495776,494349,493059,491932,490987,490166,489527,489013,488638,488322,488119,488004,487982,488070,488200,488410,488666,488918,489278,489702,490185,490746,491337,492025,492760,493555,494378,495226,496136,497080,498030,498990,499909,500851,501832,502845,503872,504873,505888,506883,507856,508831,509761,510703,511646,512578,513522,514449,515378,516312,517233,518135,519004,519860,520718,521574,522437,523312,524164,524981,525760,526497,2000
Alaska,3,708670,690691,674100,658828,644639,631543,619322,607642,596583,586059,576056,566538,557599,549170,541205,533637,526424,519593,513135,507008,501162,495572,490213,485068,480118,475359,470789,466413,462197,458148,454268,450513,446894,443414,440034,436790,433636,430605,427654,424815,422072,419430,416903,414443,412075,409773,407503,405292,403108,400948,398819,396690,394601,392511,390430,388332,386215,384102,381974,379818,377631,375381,373115,370841,368558,366252,363896,361522,359105,356648,354166,351632,349084,346511,343912,341300,338659,336000,333327,330626,327895,325124,322328,319517,316688,313847,310996,308109,305177,302197,299168,2000
Alaska,5,708670,690746,672938,655501,638412,621871,605826,590559,576442,563441,551591,540886,531134,522279,514293,507100,500654,494887,489816,485378,481508,478158,475320,472950,471025,469548,468516,468032,468004,468423,469279,470501,472093,474048,476291,478858,481685,484705,487836,491120,494528,498035,501648,505326,509072,512864,516670,520556,524506,528521,532620,536766,541005,545324,549721,554182,558691,563288,567936,572620,577342,582066,586814,591618,596465,601344,606215,611106,615999,620893,625809,630699,635624,640578,645545,650549,655556,660573,665610,670647,675676,680682,685677,690680,695690,700722,705782,710870,715974,721092,726220,2000
Arizona,2,6387700,6480660,6571090,6660276,6747608,6834264,6919022,7001649,7084339,7166942,7249349,7331384,7412891,7493907,7574357,7654137,7733449,7811958,7889520,7965997,8041183,8115045,8187593,8258833,8328536,8396910,8463774,8529009,8592646,8654689,8715427,8774856,8833262,8890390,8946099,9001580,9056516,9111535,9163135,9214427,9266287,9317560,9368954,9419632,9469825,9519450,9568209,9616837,9665029,9712750,9760573,9807044,9853514,9900306,9946935,9993068,10038825,10085827,10133026,10179318,10224866,10267896,10310589,10354256,10398141,10441974,10483917,10526124,10566942,10606486,10645262,10680761,10715971,10750568,10784013,10817590,10849677,10881538,10913345,10943900,10973100,11000407,11027127,11054563,11082372,11110413,11139030,11167157,11194067,11219608,11243591,4000
Arizona,3,6387700,6480185,6569999,6657864,6743266,6827380,6908996,6986517,7060909,7131980,7199569,7263491,7324523,7382618,7437695,7489702,7538771,7585527,7629803,7671490,7710442,7746644,7780145,7810930,7838860,7864050,7886439,7906236,7923460,7938167,7950536,7960610,7968619,7974475,7978085,7980125,7980388,7979712,7976354,7971959,7967080,7961035,7954340,7946607,7937933,7928362,7917719,7906212,7893557,7879836,7865278,7849085,7831932,7813942,7794856,7774434,7752754,7730730,7707753,7683213,7657249,7628888,7599327,7569262,7538327,7506391,7472547,7438093,7402146,7364792,7326342,7285528,7243953,7201513,7157930,7113914,7068617,7022801,6976525,6929115,6880558,6830537,6779796,6729096,6678177,6626991,6575812,6523752,6470477,6415943,6360087,4000
Arizona,5,6387700,6481092,6573123,6665456,6757441,6850196,6942416,7035295,7132095,7232571,7336645,7444045,7553657,7665448,7779280,7894987,8012782,8131754,8251593,8372140,8493133,8614506,8736316,8858502,8980742,9103250,9225837,9347277,9467672,9587024,9705795,9824127,9942271,10060031,10177204,10295467,10414489,10534424,10650443,10766867,10884873,11002893,11121910,11240722,11359625,11478671,11597388,11716865,11836714,11956808,12078138,12198561,12320130,12443231,12567298,12692068,12817633,12946312,13076514,13207035,13337676,13465964,13594530,13725447,13857636,13990709,14121774,14253587,14384079,14513007,14641455,14765661,14890090,15014180,15137169,15260987,15383350,15505647,15628095,15749345,15869093,15986793,16104189,16223010,16342823,16463750,16585825,16709433,16833418,16957602,17081763,4000
Arkansas,2,2917270,2941776,2965613,2989352,3012753,3036290,3059381,3081811,3104471,3127287,3150274,3173330,3196380,3219481,3242610,3265691,3288717,3311645,3334436,3357100,3379644,3402081,3424303,3446207,3467870,3489265,3510395,3531176,3551736,3572033,3592017,3611719,3631318,3650755,3669929,3689212,3708504,3727836,3746346,3764954,3783663,3802474,3821413,3840265,3859093,3877776,3896473,3915115,3933642,3952082,3970634,3988805,4007097,4025570,4043833,4061956,4080102,4098771,4117498,4136127,4154460,4172101,4189511,4207125,4224838,4242626,4260037,4277504,4294515,4311025,4327522,4342917,4358375,4373852,4388847,4403949,4418676,4433323,4447808,4462081,4475953,4489223,4502275,4515664,4529140,4542783,4556548,4570053,4582852,4595046,4606837,5000
