# File: A23.dispatch_globaltech_capital_additional.csv
# Title: Electricity technology capital costs
# Units: 1975$/kW
# Source: GCAM assumptions; developed from assumptions to NEMS model in support of the Annual Energy Outlook (https://www.eia.gov/outlooks/aeo/assumptions/pdf/electricity.pdf)
# Future improvement is based on the maximum % reduction that the literature deems likely and a rate corresponding to the maturity level of the technology
# Note that some technologies are the same as another with additional equipment (i.e. CCS) for those technologies the improvement is on the additional equipment
# Column types: ccccnnnnnnnnn
# ----------
supplysector,subsector,technology,input.capital,fixed.charge.rate,1971,1990,2005,2010,2015,improvement.max,improvement.rate,improvement.shadow.technology
electricity,gas,gas (CT),capital,0.13,150,150,150,150,160,0.75,0.01,
electricity,refined liquids,refined liquids (CT),capital,0.13,150,150,150,150,160,0.75,0.01,
electricity,gas,gas (steam),capital,0.13,400,400,400,400,400,0.75,0.01,
electricity,refined liquids,refined liquids (steam),capital,0.13,400,400,400,400,400,0.75,0.01,
