# File: eia_operators_nerc_region_mapping.csv
# Title: Convert EIA Operator ID to NERC region
# Units: NA
# Column types: cc
# ----------
Operator ID,NERC Region
6779,MRO
10260,MRO
10760,MRO
11018,MRO
11372,MRO
11251,MRO
13090,MRO
14127,MRO
14172,MRO
14277,MRO
14656,MRO
15132,MRO
15773,MRO
16667,MRO
17149,MRO
17727,MRO
18230,MRO
18350,MRO
18525,MRO
19968,MRO
19980,MRO
20219,MRO
20397,MRO
20632,MRO
20880,MRO
13407,WECC
17166,WECC
15472,NPCC
55768,RFC
56606,RFC
17235,RFC
15147,RFC
15478,RFC
19856,RFC
17718,SPP
15473,WECC
15698,WECC
5511,NPCC
13192,NPCC
4226,NPCC
54863,NPCC
6027,NPCC
10023,NPCC
56505,NPCC
22146,NPCC
25,NPCC
22125,NPCC
14294,NPCC
5914,NPCC
13168,NPCC
13579,NPCC
14240,NPCC
13606,NPCC
13923,NPCC
12792,NPCC
56142,NPCC
16183,NPCC
6775,NPCC
7630,NPCC
9645,NPCC
16217,NPCC
20188,NPCC
3046,SERC
5416,SERC
13763,SERC
19876,SERC
10604,SERC
13683,SERC
7444,MRO
19635,MRO
1307,MRO
12658,MRO
3006,RFC
3542,RFC
6526,RFC
14165,RFC
4062,RFC
4922,RFC
14006,RFC
14015,RFC
768,RFC
2439,RFC
3762,RFC
5336,RFC
7977,RFC
10830,RFC
13949,RFC
14194,RFC
14381,RFC
15095,RFC
17891,RFC
17043,RFC
20977,RFC
14063,SPP
15474,SPP
4667,SPP
6152,SPP
27470,SPP
10320,SPP
11566,SPP
14582,SPP
18125,SPP
20447,SPP
15248,WECC
6013,WECC
56065,RFC
15873,RFC
54885,RFC
15276,RFC
15537,RFC
15458,RFC
15534,RFC
22001,RFC
16537,RFC
19391,RFC
11118,SERC
17554,SERC
34,SERC
19545,WECC
13809,MRO
54683,TRE
49979,TRE
54907,TRE
19323,TRE
6035,TRE
55937,SERC
55983,TRE
1015,TRE
2409,TRE
2442,TRE
11269,TRE
11292,SPP
16604,TRE
20230,TRE
2172,TRE
17583,TRE
1434,WECC
2010,WECC
2220,WECC
11135,WECC
15444,WECC
17845,WECC
18205,WECC
20255,WECC
6957,WECC
12866,WECC
49852,NPCC
7601,NPCC
5956,NPCC
1299,NPCC
11359,NPCC
733,RFC
12588,RFC
1456,RFC
4794,RFC
11770,RFC
15619,RFC
18574,SERC
18574,RFC
19099,WECC
9143,WECC
3295,WECC
3413,WECC
5326,WECC
14653,WECC
18429,WECC
12796,RFC
19876,RFC
4247,MRO
4715,MRO
11479,MRO
6338,MRO
13815,MRO
42662,MRO
55906,RFC
20856,MRO
20863,MRO
765,MRO
1278,MRO
3156,MRO
4627,MRO
5834,MRO
6274,MRO
10056,MRO
10525,MRO
11571,MRO
12298,MRO
13466,MRO
16082,MRO
19867,MRO
4716,MRO
56293,MRO
13964,MRO
20153,RFC
7634,TRE
6169,WECC
12807,RFC
2876,RFC
2507,WECC
55729,RFC
50161,RFC
