# File: A23.dispatch_globaltech_eff_additional.csv
# Title: Electric sector default efficiencies
# Units: Unitless efficiency (electricity out / energy in)
# Source: GCAM assumptions; generally consistent with NEMS assumptions used for Annual Energy Outlook (https://www.eia.gov/outlooks/aeo/assumptions/pdf/electricity.pdf)
# Future improvement is based on the maximum % reduction that the literature deems likely and a rate corresponding to the maturity level of the technology
# Note that some technologies are the same as another with additional equipment (i.e. CCS) for those technologies the improvement is on the additional equipment
# Column types: ccccnnnnnnnnc
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,1990,2005,2010,2015,2100,improvement.max,improvement.rate,improvement.shadow.technology
electricity,gas,gas (CT),wholesale gas,0.25,0.3,0.33,0.377,0.377,,1.43,0.01,
electricity,refined liquids,refined liquids (CT),refined liquids industrial,0.3,0.35,0.363,0.363,0.363,,1.49,0.01,
electricity,gas,gas (steam),wholesale gas,0.25,0.3,0.33,0.377,0.377,,1.43,0.01,
electricity,refined liquids,refined liquids (steam),refined liquids industrial,0.3,0.35,0.363,0.363,0.363,,1.49,0.01,
